상품명,주종,도수,용량,한 줄 설명,태그,맛
만강에 비친 달 X 2병,탁주,10.00%,500ml,단호박이 들어간 새콤한 막걸리,#단호박으로 만든 막걸리 #새콤 달콤 구수,은은한 단맛과 입에 침이 고일 정도의 새콤한 산미가 느껴져요
가덕 순쌀 생 막걸리 X 12병,탁주,6.00%,750ml,청주 햅쌀로 빚는 생 막걸리,#담백한 #깔끔한,단맛이 적고 담백함
천비향 약주,약주,16.00%,"375ml, 500ml",연예인도 마셨던 ‘천년 비밀의 향’을 간직한 술!,#연예인도 반한 술 #2020년 짱먹은 약주,깊고 진한 쌀의 단맛을 느껴보세요
문배술 2병 헤리티지 선물세트 (잔 포함),증류식소주,25.00%,"375ml, 500ml",화려한 문배향이 나를 감싸네,#문배토닉 #향기로운 꽃 향,달콤한 꽃 향이 은은하게 나요
고소리술 40%,증류식소주,40.00%,375ml,고소리가 뭔지 아는 사람 쏘리 질러!,#소고기구이 #오메기술을 증류하면? #차조로 만든 소주,고소하면서 코를 찌르는 작열감이 있어요
제주 오메기 맑은 술,약주,16%,500ml,직접 디딘 누룩과 좁쌀로 만든 떡을 발효시켜 만든 약주,#레모네이드 같은 짜릿함 #오메기떡으로 만들었어요,레모네이드 같은 산미와 쌀의 구수한 풍미를 한꺼번에 느낄 수 있어요
토끼소주 화이트 23%,증류식소주,23%,375ml,미국인 손에 의해 탄생한 우리나라 증류주!,#물처럼 편안한 목 넘김 #가볍고 깔끔한 맛,풍미가 옅어서 가볍게 즐기기 좋아요
아미주 40%,일반증류주,40%,500ml,양조장에서 처음으로 출시한 매실 증류주,#BTS 지민이 선물받은 술 #쌉쌀한 풍미,채소의 쌉쌀한 풍미를 느낄 수 있는 화사한 증류주
금풍양조 막걸리 X 4병,탁주,6.90%,750ml,강화도에서 3대째 운영하는 양조장의 막걸리,#우리나라 최초 비건 막걸리 #은은한 단맛과 가벼운 막걸리를 좋아한다면,목 넘김이 가볍고 여운이 구수한 막걸리
청주신선주 약주 16%,약주,16.00%,"375ml, 500ml",신라시대 최치원 선생이 신선봉에 정자를 짓고 마신 술,#10가지 약재가 들어간 술 #새콤쌉싸름,10가지 재료가 들어간 만큼 풍부한 맛과 향을 느껴보세요
하얀 까마귀 X 3병,탁주,8.00%,850ml,막걸리를 많이 마셔 몸이 하얘졌답니다,#포근한 단맛 #행운을 상징하는 하얀 까마귀,우유처럼 부드러운 목넘김을 가졌어요
모월 로 25%,증류식소주,25.00%,500ml,"사람을 품은 소주, 모월의 부드러움을 만나보세요",#부드럽고 깔끔 #쌀의 달큰한 풍미,은은하게 풍기는 달콤한 향과 함께 부드럽게 넘어가요
시나브로 캠벨 스위트,과실주,12.00%,750ml,달콤한 첫맛에 반전매력이 돋보이는 씁쓸한 끝맛,#익숙한 달콤씁쓸한 맛 #오프너 필요 없이 간편하게,달콤씁쓸하게 즐길 수 있는 레드와인
264 청포도 와인 광야 (Dry),과실주,12.50%,"375ml, 750ml",달콤한 과일향이 매력적인 화이트 와인,#청포도 와인 #이육사 광야,산뜻한 산미와 달콤한 꽃향
독산 30%,증류식소주,30.00%,250ml,오산 세마쌀로 만든 증류식 쌀 소주,#오산의 독산성 #쌀소주의 진득한 풍미,쌀로만 빚은 깔끔한 소주
경성 과하주,약주,20.00%,375ml,발효도 안 끝난 술에 소주를 태워?,#포트와인 좋아하시나요? #달달하다~,새콤달콤한 풍미 가득한 술
허니비 와인,기타주류,8.00%,375ml,저절로 꿀벌이 꼬일 것 같은 진한 달콤함을 가진 미드,#아카시아꽃 꿀 #은은한 꽃 향,벌꿀 집 한 조각을 입에 넣은 듯한 달콤함
문경바람 오크 40%,일반증류주,40.00%,375ml,사과로 만들어 300일 이상 숙성한 사과 브랜디,#사과 브랜디 #인기 혼술 제품,중후한 사과의 풍미를 잔잔하게 느껴보세요
추사 40%,일반증류주,40.00%,"200ml, 500ml",사과 와인을 증류하여 오크통에 숙성한 브랜디,#사과 브랜디 #2019년 대상 받은 증류주 #미소천사 손호영이 소개한 술,스모키한 오크향과 달콤한 사과향을 천천히 음미해보세요
선셋 체리 스파클링 약주 X 3병,약주,5%,300ml,곡성 가루미 쌀과 체리로 만든 탄산 톡톡 스파클링 약주,#체리 맛 아이스크림 풍미 #청량감 넘쳐요,탄산 덕에 더욱 청량하게 느낄 수 있는 체리 풍미
벚꽃시즌,기타주류,10.7%,"295ml, 500ml",벚꽃시즌에만 채밀할 수 있는 꿀로 빚은 산뜻한 미드,#화이트 와인을 마시는 듯 #산뜻한 청포도 향,꿀의 달콤한 풍미 뒤로 느낄 수 있는 산뜻한 청포도 향
그랑꼬또 로제와인,과실주,12%,750ml,대부도 포도의 자존심이 담긴 로제 와인,#쨍한 새콤함 #드라이해요,쨍한 산미를 가진 드라이한 와인
북한강 40%,증류식소주,40%,375ml,북한강의 깨끗한 물로 만든다는 자부심을 내세웠어요,#입안을 강타하는 얼얼함 #고소한 풍미,볶은 콩의 풍미를 가졌어요
이도 42%,증류식소주,42.00%,"375ml, 750ml",유기농 쌀 소주의 진면목을 알아가 보세요,#대상 받은 쌀 소주 #부드러운 쌀의 단맛,달콤함 뒤에 올라오는 알싸한 향
죽향 41% 화이트,증류식소주,41%,375ml,담양의 향기를 가득 담은 쌀 증류주,#진한 구수함 #화려한 작열,고구마에서 느낄 수 있는 진한 구수함
미르아토 샤인머스켓 화이트 스파클링,과실주,5%,750ml,영동의 샤인머스캣으로 만든 스파클링 와인,#싱그러운 청포도 향 #끝에 퍼지는 쌉쌀함,입안 곳곳을 아쉽지 않게 채워주는 탄산감
용봉소주 25%,증류식소주,25.00%,500ml,복을 가져다주는 용과 봉황의 기운을 잔뜩 받아보세요,#열대과일의 산뜻한 향 #깔끔한 목넘김,싱그러운 열대과일 향의 깔끔한 소주
아이엠더문 오리지널,리큐르,17.00%,"375ml, 750ml",파티를 책임져줄 우리나라 전통주,#전통주 입문자용 #파티,달콤하게 즐길 수 있는 과일 증류주
어미실 와인 화이트 스위트,과실주,10.50%,500ml,달콤한 화이트 와인을 찾으신다면!,#직접 재배한 청수로 만든 #입안을 가득 채우는 달콤함,입안을 꽉 채우게 만드는 포도의 달콤함
안동소주 일품 40% 골드,증류식소주,40.00%,500ml,안동소주 일품 시리즈의 끝판왕 ‘골드’,#안동소주에 오크 한 스푼 #달콤한 감칠맛,쌀의 짜릿한 감칠맛을 느낄 수 있어요
수제 약주 별바랑,약주,17.50%,375ml,생쌀 발효로 만든 수제 약주,#세계가 인정한 술 #맛있는 산미,누룩향 없이 깔끔하고 새콤달콤하게 마실 수 있는 약주
경복궁 소주 40%,증류식소주,40%,350ml,조선 대표 궁궐인 경복궁의 품위를 표현한 증류주,#생선구이 #박하의 화사함 #구수한 고구마 향,화려한 작열감을 오래도록 느낄 수 있어요
마크홀리 별빛신사리 7% [3병/6병],탁주,7%,500ml,관악구에 반한 마크홀리가 만든 새콤달콤한 막걸리,#고소하면서도 달콤한 #순대볶음과 잘 어울려요,배의 시원한 단맛을 담은 막걸리
모든날에,약주,15.00%,500ml,전통누룩을 사용하여 3번 빚은 약주,#생선구이 #새콤쌉쌀 #모든날에 잘 어울려요,살구를 먹은 듯한 새콤한 산미
상록수 40%,증류식소주,40.00%,500ml,"소설가 심훈의 소설, 상록수에 영감을 받아 만든 술",#구수한 풍미 #날카로운 작열감,쌀의 구수한 풍미를 느껴보세요
문삼이공 약주,약주,16.00%,500ml,밤 하늘 달빛 아래에서 건배 한번 하면 참 좋겠다,#밤에 어울리는 술 #달콤새콤,"누룩 향 없이, 새콤 달콤하게 즐겨보세요!"
문희 오미자 가향주,탁주,12.00%,500ml,문경 오미자가 들어간 프리미엄 탁주,#오미자 새콤달콤 #모든 과정 수제,베리류의 깊은 풍미와 묵직한 단맛
매실 향기 담은 술,약주,14.00%,500ml,다들 매실주의 신세계라고 부르더군요?,#이게 정말 매실주예요 #시원한 청량감,산뜻한 매실 풍미를 청량감 넘치게 즐겨보세요
여유 40%,증류식소주,40.00%,375ml,100년 역사를 가진 양촌양조장의 소주를 만나보세요,#친환경 우렁이쌀 소주 #쌀의 진한 감칠맛,바나나 같은 달콤한 과실 향과 진한 감칠맛
오!미자씨 X 3병,탁주,7.8%,650ml,오미자즙을 넣어 만든 봄여름 한정판매 막걸리,#드라이하고 가벼운 #화이트 와인처럼 산뜻한,오미자의 싱그러운 새콤함이 입안을 가득 채워요
문경바람 백자 40%,일반증류주,40.00%,375ml,사과로 만들어 300일 이상 숙성한 사과 증류주,#홈바 필수템 #인기 혼술 제품,중후한 사과의 풍미를 잔잔하게 느껴보세요
시즌,기타주류,11.5%,"295ml, 500ml",벌들이 야생화에서 직접 채취한 꿀로 만든 미드,#드라이한 미드 #끈적하지 않고 산뜻해요,귤의 산뜻함과 캐슈넛의 고소함을 느낄 수 있어요
[릴레이특가] 한영석 청명주,약주,13.8%,375ml,누룩 명인의 손에서 탄생한 새콤달콤한 청명주,#배치마다 맛이 달라져요 #생동감 넘치는 새콤함,새콤한 산미가 돋보이는 맑은 약주
양조학당 녘,청주,13%,"300ml, 500ml",고문헌 속 용호주 제조방식을 현대방식으로 재해석해서 만들었어요,#소나무 숲속의 풋풋함과 #해 질 녘의 무게감을 동시에 담은,가벼우면서도 무게감 있는 술이에요
미라실 블루베리 와인,과실주,13.00%,"375ml, 750ml",유기농 블루베리로 만들어 2년의 긴 숙성까지 거쳤어요,#복분자주를 마신 듯한 #많이 달지 않아요,깊은 블루베리 풍미를 가졌지만 무겁지 않아요
미라실 울프 살구와인,과실주,9%,375ml,"힘의 원천인 ‘당’이 떨어질 일 없도록, 살구로 만든 달콤한 과실주.",#진득한 달콤함 #끈적끈적한 질감,달콤한 향과 맛을 진하게 느낄 수 있어요
미라실 센츄리 골드 화이트 와인,과실주,13%,750ml,양조장에서 최초로 재배한 청포도 품종과 사과를 블랜딩한 와인,#청포도와 사과의 만남 #달콤하지만 깔끔해요,청포도의 달콤한 풍미와 레몬의 상큼한 마무리
미라실 애플 아이스 와인,과실주,16%,375ml,아이스 와인 기법으로 더욱 진한 단맛을 끌어올린 사과 와인,#부드러운 달콤함 #산뜻한 여운,꿀물 마신 것 같은 진득한 달콤함
초이 국화,약주,16%,500ml,감국과 다섯 가지 누룩이 들어가 다채로운 풍미를 끌어올린 약주,#다섯 가지 누룩 블랜딩 #잔잔하게 퍼지는 국화 향,달콤함은 짧아도 향긋함은 오래 오래~
N와인 사과,과실주,12%,750ml,3대가 운영하는 사과 농장에서 직접 재배한 사과로 만들어요,#균형 잡힌 단맛과 산미 #달콤시원한 마무리,배즙을 마신 것 같은 달콤시원한 마무리
미르아토 청수 스위트 와인,과실주,12.00%,"500ml, 750ml",우리나라 청포도 품종인 청수로 만든 와인,#청사과를 먹은 듯 #산뜻한 향,풋풋한 산미와 청사과의 싱그러움을 느낄 수 있어요
라라,과실주,12.00%,750ml,흥겹고 즐겁게 라라 한잔해보세요~,#단맛은 낮고 산미는 팡팡 #레몬처럼 짜릿한 새콤함,저절로 침이 고이게 만드는 새콤한 산미
나주 배 약주,약주,15.00%,500ml,나주하면 배가 유명한 것은 다들 아시죠~,#2200시간의 기다림 #은은한 단맛의 배 약주,끈적한 마무리를 가진 배 약주
여포의 꿈 화이트와인,과실주,12.00%,"375ml, 750ml",알렉산드리아 품종으로 만든 청포도 와인,#새콤 달콤 깔끔 #알렉산드리아 청포도,새콤달콤하지만 씁쓸한 맛이 깔끔하게 잡아줘요
지란지교 약주,약주,15.00%,"375ml, 500ml",수제 방식의 달콤한 약주,#진득한 달콤씁쓸 #부부가 함께 만든 술,시원한 배의 달콤한 맛과 씁쓸한 뒷맛
삼천갑자 동방주,일반증류주,18.00%,375ml,새싹삼이 들어간 담금 소주,#새싹삼이 통째로 #달짝지근하고 부드러워요,인삼 특유의 풍미가 부드럽게 맴돌아요
미르 40%,증류식소주,40.00%,375ml,대상 받은 증류식 소주의 품격,#증류주 대상 #쌀로 만든 소주의 정석,달콤한 감칠맛이 부드럽게 넘어가요
겨울소주 45%,증류식소주,45.00%,360ml,겨울에 빚어 이듬해 겨울에 완성되는 기다림의 소주,#2번의 겨울이 담긴 술 #쌀소주의 감칠맛,쌀 소주의 진한 감칠맛을 느껴 보세요
고도리 자두 와인,과실주,11.50%,375ml,달콤한 자두향과 산미 가득한 맛을 지닌 와인,#자두로 만든 와인 #달콤한,자두의 달콤한 단맛과 톡 쏘는 산미
고도리 체리 와인,과실주,10.00%,375ml,새콤달콤 체리향 가득한 디저트 와인,#체리로 만든 와인 #디져트 와인,강렬한 체리향과 떫고 달콤한 맛
원매 15%,리큐르,15.00%,750ml,원매 한잔으로 매실의 근원을 느껴보세요,#달콤 쌉싸름 #입안 가득 차오르는 매실 향,입안 가득 차오르는 매실의 진한 달콤함
고도리 화이트 청수 와인,과실주,10.50%,"375ml, 750ml",국내 유일의 오크숙성을 거친 청수와인,#청수 화이트와인 #오크숙성,열대과일 향 뒤에 오는 청포도의 새콤달콤한 맛
우리술 오늘 약주,약주,15.00%,700ml,조선 시대 문헌상의 비법으로 빚은 약주,#고급진 단맛 #호산춘 레시피,찹쌀의 단맛이 진득하게 올라와요
한시울 40%,증류식소주,40.00%,500ml,물 좋기로 소문난 백족산의 지하 암반수로 빚은 증류주,#소고기구이 #누룽지 같은 구수한 풍미 #고도수 증류주를 좋아하신다면,노릇하게 그을린 누룽지 같은 구수한 풍미
조은가,일반증류주,40.00%,375ml,충북 보은의 특산물인 대추로 만들어 지역의 은혜를 보은했대요~,#약밥을 먹은 듯 부드러운 달큰함 #나 혼자 산다에 출연한 그 술!,부드러운 달큰함 속 목을 강타하는 작열감을 가진 증류주
얼떨결에 퍼플 X 3병,탁주,6.00%,935ml,얼떨결에 마셔봤는데... 너무 맛있잖아?,#통닭구이 #라일락 빛깔 #새콤달콤 포도 스파클링,입안을 스며드는 포도의 새콤달콤함
보은 송로주,일반증류주,40%,"200ml, 700ml",충청북도 무형문화재 3호로 등록된 소나무 향 가득 머금은 증류주,#소나무 숲에 있는 것 같은 #넘치는 상쾌함과 개운함,소나무 숲 한 가운데에 있는 것 같은 상쾌한 향
도봉산 막걸리 8% X 2병,탁주,8.00%,500ml,양조장에서 직접 띄운 분홍빛 도화곡으로 만든 막걸리!,#팡팡 터지는 화사한 생강 향 #전통주점 팔뚝집의 막걸리,담백함 뒤 생강 향의 화사한 마무리
금산인삼주 수삼 43%,일반증류주,43.00%,375ml,인삼의 부드러운 풍미를 가득 담은 김창수 명인의 술,#수삼 한 뿌리가 통째로 #향긋하면서도 쌉쌀한 인삼 풍미,잔잔하게 퍼지는 인삼 풍미가 향긋한 여운을 선사할 거예요
낙안읍성 막걸리 X 2병,탁주,12.00%,750ml,술맛은 좋은 물에서부터 결정되죠,#자두에서 느낄 수 있는 새콤함과 #쌀의 구수함,새콤함이 지나간 뒤 고소함도 함께 느껴보세요
청비성 16%,약주,16.00%,500ml,술 한 잔으로 덕과 지혜를 얻을 수 있어요,#고소한 쌀 튀밥 향 #은은한 산미,은은한 산미와 알싸한 알코올 감
설하담 X 2병,탁주,7.00%,940ml,부산에서 만든 프리미엄 무첨가물 막걸리,#눈처럼 포근해요 #요거트 같은 새콤달콤함,요거트를 마신 듯한 새콤달콤함
고소리술 29%,증류식소주,29.00%,375ml,고소리가 뭔지 아는 사람 쏘리 질러!,#오메기술을 증류하면? #전통증류기 고소리,은은한 단맛과 곡물향이 느껴져요
택이 X 2병,탁주,8.00%,500ml,남녀노소 좋아할 맛을 가진 막걸리,#평택의 택이 #깔끔한 단맛,은은한 산미가 감도는 부드러운 단맛
여포의 꿈 레드와인 (드라이),과실주,12.00%,750ml,미디엄 바디와 산도를 가진 레드와인,#소고기구이 #포도품종 블랜딩 #신선한 향 뒤에 새콤한 맛,포도껍질의 신선한 향과 새콤한 산미
마크홀리 오리지널 6.0 [3병/6병],탁주,6.00%,650ml,어메이징 브루어리에서 처음으로 출시한 막걸리,#시원한 참외 향에 청량감은 up #마크홀리 너… 가상 인물이었어?,시원한 참외 향을 느낄 수 있는 깔끔한 막걸리
밀담 52%,일반증류주,52.00%,360ml,사탕수수로 만든 한국의 럼이에요,#한국의 럼주 #달콤하고 향긋한 소주,솜사탕같이 달콤한 풍미 뒤에 오는 작열감
진도백주,일반증류주,38%,375ml,진도홍주의 백주 버전이에요,#강렬한 작열감을 좋아하신다면 #진도홍주와 형제 사이,강렬한 작열감에 얼얼함을 느낄 수 있어요
소여강 25%,증류식소주,25%,375ml,맛 좋기로 유명한 여주 쌀로 만든 옹기 숙성 증류주,#메밀차를 마신 듯한 구수함 #뜨끈한 작열감까지 더해진,잔 가득 퍼지는 구수한 향을 가진 증류주
고도리 사과 와인,과실주,7.00%,375ml,아이스와인 기법으로 만든 사과 와인,#새콤달콤 사과주스 맛 #바나나처럼 부드러운 풍미,달콤한 사과주스 맛에 더해진 부드러운 풍미
고도리 샤인머스캣 와인 (망고포도),과실주,10.50%,"375ml, 750ml",달콤한 망고포도로 만든 화이트 와인,#집 나간 입맛도 돌아오게 하는 #새콤달콤한 맛,식욕을 자극하는 새콤달콤한 와인이에요
려 고구마 증류소주 25%,증류식소주,25.00%,375ml,고구마의 풍미가 깃든 깔끔한 소주,#고구마로 만든 소주 #맛있는 '려'석들,고소 달콤한 고구마의 풍미를 천천히 느껴보세요
려 증류소주 40%,증류식소주,40.00%,375ml,고구마와 쌀의 풍미가 깃든 담백한 소주,#고구마와 쌀의 만남 #부드럽고 깔끔하게,마지막까지 잔잔하게 치밀어오는 고구마 풍미
고도리 복숭아 와인,과실주,6.50%,"375ml, 750ml",뭐야? 주스가 아니라 술이였어?,#복숭아로 만든 와인 #아이스 와인,가벼운 단맛과 함께 톡 쏘는 새콤한 맛
문희,탁주,13.00%,500ml,장원 급제하는 기쁜 소식,#모든 과정 수제 #묵직하고 달아요,묵직한 찹쌀의 단맛과 향
오미자 생 막걸리 X 10병,탁주,6.50%,500ml,핑크빛 인생을 위한 오미자 막걸리,#오미자 새콤달콤 #과일막걸리 전국1호,오미자의 새콤달콤한 맛과 상큼한 향
오희,탁주,8.50%,500ml,오미자의 다채로움을 화려하게 즐겨요!,#스파클링 톡톡 #상큼한 오미자 향,강한 탄산감과 함께 느껴지는 풍부한 오미자맛
세인트하우스 아로니아 와인,과실주,12.00%,500ml,베리계의 황제 '아로니아',#아로니아로 만든 와인 #달지 않아요,달지 않고 강한 떫은 맛
세인트하우스 모과 와인,과실주,12.00%,500ml,모과의 맛과 향이 살아있는 와인,#모과 그대로 #새콤달콤,모과 특유의 진득한 단맛과 새콤함
세인트하우스 가시오가피 와인,과실주,12.00%,500ml,안 달아 보이지만 달달한 반전 매력,#가시오가피로 와인을? #한국와인의 매력,단맛과 산미가 은은한 탄닌감과 어우러지는 맛
배금도가 포도 약주,약주,16.00%,390ml,김천의 명품 포도가 들어가 진득한 단맛의 맑은 술,#달콤쌉쌀 포도약주 #디저트와 함께라면,달고나를 먹는 듯한 진득한 단맛이 일품이에요
크라테 자두 와인,과실주,8.50%,375ml,자두 본연의 맛과 향을 그대로 즐길 수 있는 와인,#자두 사탕 머금은 듯 #입안 가득 싱그러움,자두의 맛과 향을 그대로 느껴볼 수 있어요
한스오차드,과실주,11.00%,750ml,누구나 쉽게 즐길 수 있는 와인,#우리나라 최초의 사과 와인 #산뜻하게 피어오르는 오크 풍미,가볍게 지나가는 사과의 단맛
애피소드 애플 X 6병,과실주,3.50%,330ml,향긋한 사과와 톡쏘는 탄산의 조화,#어디서 마셔본 그 맛 #가볍게 즐기기 좋아요,사과 탄산음료 같은 맛
애피소드 상그리아 X 6병,과실주,3.50%,330ml,세뇨리따! 스페인의 파티 음료,#포도가 들어가요 #상그리아는 진한 붉은 빛,가벼운 탄산이 느껴지는 달달한 포도주스와 같은 맛
감싸주는 날,약주,16%,750ml,한산 소곡주 사이에서 경쟁력과 정체성을 갖추기 위해 새로운 디자인으로 탄생했어요,#입안을 감싸는 듯한 #단맛과 옅은 산미,단맛과 옅은 산미가 진득한 질감으로 입안을 감싸주는 술
용 41%,증류식소주,41.00%,375ml,양조장 대표님의 꿈 이야기가 담겨있는 화사한 쌀 증류주,#부드러운 감칠맛 #뜨끈한 작열감,부드러운 감칠맛과 달콤함이 입에 착 감겨요
메밀로 25%,일반증류주,25.00%,500ml,강원도 홍천에서 직접 농사지은 메밀로 만든 증류주,#고소한 메밀차의 풍미 #메밀로 만든 메밀로,고소한 메밀차의 풍미와 구수한 누룩 향
7004S 키위와인,과실주,8.00%,750ml,우리나라 키위라고 불리는 참다래로 만든 키위와인,# 짜릿한 새콤함 덕에 침이 꼴깍! # 어서 와~ 키위 와인은 처음이지?,입 안 침샘을 자극하는 키위의 짜릿한 산미
젤코바 홍시 와인,과실주,10.50%,375ml,1년 동안 저온에서 숙성한 홍시와인,#침샘을 자극하는 새콤달콤함 #대봉감으로 만든 와인,입안 가득 감칠맛을 선사하는 홍시 와인
