상품명,설명,맛 평가,재료,레시피
클로버 클럽,"특유의 분홍빛과 라즈베리 가니쉬가 매력적인 '클로버 클럽'! 이 칵테일은 1800년대 남성 사교 모임이었던 '클로버 클럽'에서 탄생해 1910년까지 남성적인 칵테일로 인기를 얻었는데요, 그 이유는 1890년대에는 분홍색이 매우 남성적인 색으로 여겨졌기 때문이라고 합니다.
 1900년대 중반부터 사람들에게 잊혀졌던 클로버 클럽은 2000년대에 시작된 과거 클래식 칵테일 되살리기 운동에 의해 오늘날 IBA 공식 칵테일에도 등록되어 있다고 하네요.","도수 ★★★
단맛 ★★☆
신맛 ★☆☆
쓴맛 ★☆☆
탄산 ☆☆☆
얼음 ☆☆☆","진   1 + 1/2 oz
레몬 주스   1/2 oz
라즈베리 시럽   1/2 oz
달걀 흰자 약간
(+) 가니쉬: 라즈베리","1. 마티니 글라스에 얼음을 넣고 미리 칠링해 준다.
2. 재료들을 얼음과 함께 8~10초간 셰이킹해 준다.
3. 차갑게 식힌 글라스에 얼음을 걸러낸 칵테일을 따라 준다.
4. 라즈베리 가니쉬로 마무리해 준다.
  Tip: 계란 흰자는 술과 잘 섞이지 않고 자칫 비린내가 날 수 있기 때문에 충분히 강하게 흔들어줘야 함"
아메리카노,"커피? 아니죠. 칵테일입니다! '아메리카노'는 쌉쌀한 맛으로 입맛을 돋궈주는 대표적인 식전주입니다. 이 칵테일의 탄생은 커피 '아메리카노'와 굉장히 비슷한데요, 미국인들이 이탈리아의 칵테일인 '밀라노 토리노'의 씁쓸함을 줄이고 마시게 편하게 하고자 해당 레시피에 탄산수를 추가한 것이 아메리카노의 시작이라고 합니다.","도수 ★★☆
단맛 ★☆☆
신맛 ☆☆☆
쓴맛 ★★☆
탄산 ★★☆
얼음 ☆☆☆","캄파리  1 oz
스위트 베르무트  1 oz
탄산수  약간(30~60ml)
가니쉬:레몬 껍질이나 오렌지","1. 글라스에 캄파리와 스위트 베르무트를 부어 준다.
2. 탄산수를 채워 준다.
3. 가니쉬로 장식해 준다."
골든 메달리스트,"파인애플, 딸기, 코코넛, 바나나로 새콤달콤한 맛을 내는 트로피컬 칵테일 '골든 메달리스트'는 전 세계적으로 인기를 누리는 논 알콜 칵테일입니다! 대표적인 패밀리 레스토랑 브랜드 'TGIF'에서 창시된 칵테일로, 본래 '금메리스트'라는 뜻으로 '골드 메달리스트'가 맞는 명칭이지만, 한국으로 넘어오면서 '골든 메달리스트'라고 불리게 되었다고 하네요. 블랜딩 기법으로 과일 스무디같은 시원 상큼한 맛을 즐길 수 있는 골든 메달리스트, 특히 무더운 여름에 잘 어울릴 것 같지 않나요?","도수 ☆☆☆
단맛 ★★☆
신맛 ★☆☆
쓴맛 ☆☆☆
탄산 ☆☆☆
얼음 ★★☆","딸기  4~5개
바나나  1/2개
그레나딘 시럽  1/2 oz
파인애플 주스  6 2/3 oz
코코넛 크림  3 1/2 oz","1. 얼음과 함께 재료들을 블랜더에 블랜딩해 준다.
2. 글라스에 칵테일을 따라 준다."
잭 로즈,"'잭 로즈' 또는 '잭 로제'라고 불리는 이 칵테일은 고전적인 위스키 칵테일 중 하나로, 위스키 칵테일을 좋아하는 분들이 반드시 한 번 쯤은 시도해 볼 만한 칵테일입니다!
 클래식 칵테일인 만큼 잭 로즈 칵테일의 유래에 대해서는 여러가지 이야기들이 전해진다고 합니다. 그 중에서 대표적인 이야기는 20세기 초 미국에서 활동한 범죄자인 '백색 산타'(Whitey Ford)가 사용하던 비밀 코드네임 중 하나에인 '잭 로즈'(Jack Rose)에서 유래되었다는 것이고, 또 하나는 1920년대 미국 뉴저지 주의 로저스 호텔(Rogers Hotel) 바텐더인 '제임스 R. 셰퍼드'(James R. Shepherd)가 자신이 가장 좋아하는 대학 교수님의 이름 '잭 로즈'(Jack Rose)를 따서 이름을 지었다는 설입니다.
 어떤 이야기가 맞는지는 알 수 없지만, 어느 쪽 이야기가 맞다 해도 잭 로즈 칵테일은 지금까지 오랫동안 사랑받는 클래식 칵테일 중 하나로 자리 잡았습니다!","도수 ★★☆
단맛 ★★★
신맛 ★☆☆
쓴맛 ★☆☆
탄산 ☆☆☆
얼음 ★☆☆","애플 잭 or 칼바도스  1oz
라임 주스  1/2oz
그레나딘  1/2oz
가니쉬: 체리 또는 사과 슬라이스","1.글라스에 얼음을 담아 미리 칠링한다.
2.셰이커에 얼음과 재료를 차례로 넣고 흔들어 준다.
3.글라스의 얼음은 버리고 내용물을 따른다.
4.체리나 사과 가니쉬로 마무리한다."
와일드 플라워,"와일드 플라워는 영어로 '야생화'라는 뜻인데요! 거친 환경 속에서도 꿋꿋이 자라 아름답게 피는 야생화와 같이, 이 칵테일도 높은 도수로 인한 쓴맛 뒤에 느껴지는 깊고 달짝지근한 맛이 일품이랍니다.
 레시피에 '와일드 터키'라는 위스키를 사용하기 때문에 와일드플라워라는 이름을 가졌다고도 해요. 하지만 와일드 터키가 없다면 다른 종류의 버번 위스키로 만드시면 됩니다~!","도수 ★★★
단맛 ★★★
신맛 ★☆☆
쓴맛 ★☆☆
탄산 ☆☆☆
얼음 ★☆☆","버번 위스키 1 oz
아마레또 1/2 oz
피치트리 1/2 oz
라임즙(주스) 1/2 oz
Tip: 가니쉬로 식용 꽃이나 로즈마리 같은 걸로 장식해주면 얼마나 예쁘게요~",얼음으로 차갑게 칠링 시킨 글라스에 모든 재료를 빌드해서 가볍게 저어준다
셜리템플,"'셜리 템플'이름은 아역 배우 '셜리 템플'의 이름에서 따 왔는데요, 하와이 와이키키의 한 호텔에 방문했을 당시 미성년자라서 술을 마실 수 없었던 셜리 템플에게 바텐더가 특별히 만들어 주었던 칵테일이라고 합니다.
 석류 시럽인 그레나딘과 탄산음료가 어우러진 이 칵테일은 술이 들어가지 않는다는 점, 그리고 특유의 붉은 빛으로 분위기 연출에 효과적이라는 점 때문에 지금까지 많은 사랑을 받고 있습니다.","도수 ☆☆☆
단맛 ★★☆
신맛 ★☆☆
쓴맛 ☆☆☆
탄산 ★★★
얼음 ★★★","그레나딘 시럽  1/2 oz
진저에일 또는 진저비어  한 캔
가니쉬:마라스키노 체리","1. 콜린스 잔에 얼음을 채운다.
2. 진저에일 또는 진저 비어를 넣는다.
3. 그레나딘 시럽을 넣는다.
4. 마라스키노 체리로 장식한다.
Tip:진저에일과 그레나딘 시럽의 순서는 상관 없지만 진저에일을 먼저 넣으면 그라데이션 효과를, 그레나딘 시럽을 먼저 넣으면 층이 지는 효과를 만들 수 있다."
핑크 레이디," 1912년 영국 런던에서 흥행한 연극 '핑크 레이디' 공연 후 열린 파티에서 해당 극의 여주인공을 맡은 배우 헤이즐 돈 양에게 바쳐진 것을 시작으로 지금까지 전해 내려온 '핑크 레이디'! 사실 '화이트 레이디'의 변형에 가깝고, 비슷한 레시피를 가진 칵테일로는 '클로버 클럽'이 있다는 비하인드 스토리가 있다고 하네요.
 특유의 분홍빛과 부드러운 맛으로 아직까지 많은 사랑을 받고 있는 '핑크 레이디'는 30도의 높은 도수를 지닌 칵테일이니까요, 그 이름과 비주얼에 속지 마세요!","도수 ★★★
단맛 ★★☆
신맛 ★☆☆
쓴맛 ☆☆☆
탄산 ☆☆☆
얼음 ☆☆☆","드라이 진 -1 1/2 oz
그레나딘 시럽  1/3 oz
크림  1/2 oz
달걀 흰자 -1개","1. 글라스에 얼음을 담아 미리 칠링한다.
2. 모든 재료를 셰이커에 넣고 세게 흔들어 준다.
3. 차갑게 식힌 글라스에 칵테일을 따라 준다.
Tip:크림과 계란 흰자는 술과 잘 섞이지 않기 때문에 잘 흔들어 주어야 한다. 그렇지 않을 경우 술과 분리되거나, 특히 계란 흰자에서 비린내가 날 수 있다."
사이드카," '사이드 카'라는 칵테일의 독특한 이름은 어디서 왔을까요? 바로 오토바이 옆에 달린 작은 짐칸, 혹은 사람이 탈 수 있는 공간을 의미하는 '사이드 카'에서입니다. 해당 명칭의 유래에 대해서는 여러가지 설이 있는데요, 세계 1차 대전 당시 항상 이 칵테일을 주문했던 사이드카 운전병에게 '사이드카가 왔다'고 말하며 이 술을 내놓았다는 것이 그 중 하나라고 하네요.
 강한 과일 향과 부드러운 산미, 오렌지 리큐르와 레몬 주스의 조화로운 맛을 특징으로 하는 사이드카는 그 풍부한 맛과 향으로 많은 이들에게 사랑받고 있습니다","도수 ★★★
단맛 ★☆☆
신맛 ★★☆
쓴맛 ★☆☆
탄산 ☆☆☆
얼음 ☆☆☆","코냑  1 2/3 oz
트리플 섹  2/3 oz
레몬 주스  2/3 oz","1.글라스에 얼음을 담아 미리 칠링한다.
2. 셰이커에 얼음과 재료들을 넣고 셰이킹해 준다.
3. 얼음을 걸러내고 차갑게 식힌 칵테일 글라스에 따라준다."
에비에이션," 신비로운 하늘빛 또는 보라빛을 띠는 칵테일 '에비에이션Aviation[;비행, 항공]'은 당대 비행 기술의 비약적 발전, 그리고 비행에 대한 사람들의 흥미와 관심에 발 맞추어 그 이름을 얻게 되었다고 합니다.
 1916년에 처음 만들어진 후 전쟁을 거치면서 에비에이션의 핵심 재료 '크렘 드 바이올렛'을 구하기 어려워져 한동안 바텐더들은 이 칵테일의 특징적인 파란색을 포기하기도 했다는데요, 현재 다시 시장에 출시된 크렘 드 바이올렛은 에비에이션이 과거의 아름다운 빛깔을 낼 수 있도록 해 줄 뿐만 아니라 달콤한 맛을 한층 더해 준다고 합니다!","도수 ★★★
단맛 ★☆☆
신맛 ★★☆
쓴맛 ★☆☆
탄산 ☆☆☆
얼음 ☆☆☆","  진 1 1/2 oz
룩사르도 마라스키노 1/2oz
레몬주스 1/2oz
크렘 드 바이올렛 1tsp
가니쉬:마라스키노 체리(선택)","  1.칵테일 잔에 얼음을 넣고 칠링한다.
2.잘 부순 얼음과 함께 쉐이커에 모든 재료를 넣고 섞는다.
3.잔에 든 얼음은 버리고 칵테일을 따른다."
헤밍웨이 다이키리,"쿠바의 한 마을에서 만들어진 '다이키리'라는 칵테일은 작가 어니스트 헤밍웨이가 즐겨 마시기로 유명했죠. 당뇨병을 앓던 헤밍웨이가 다이키리를 걱정없이(?) 즐기기 위해 특별 주문한 레시피가 있었는데요! 그 레시피가 지금의 '헤밍웨이 스페셜'이라는 이름으로 국제 바텐더 협회 (IBA)의 공식 칵테일로 등록되어 있답니다.
 기존의 다이키리에서 럼의 비중을 2배로 늘리고, 설탕을 빼는 대신 약간의 단맛이 느껴지도록 자몽주스를 추가한 것이 바로 헤밍웨이 다이키리입니다. 다만 현대 레시피에서는 일반 다이키리와 헤밍웨이 스타일 둘 다 비슷한 양의 럼이 들어가는 것으로 바뀌었답니다!","도수 ★★★
단맛 ★☆☆
신맛 ★★☆
쓴맛 ★★☆
탄산 ☆☆☆
얼음 ☆☆☆","  화이트 럼  2 oz
마라스키노  1/2 oz
자몽 주스  1 + 1/3 oz
라임 주스 - 1/2 oz
Tip: '마라스키노 룩사르도'는 대표적인 체리 리큐르!","1. 쉐이커에 얼음을 채운다.
2. 쉐이커에 나머지 재료를 모두 따르고 충분히 흔들어준다.
3. 글라스에 얼음 없이 내용물을 따라준다.
Tip: 라임주스 대신 신선한 라임즙을 짜주면 상큼한 맛 UP!!"
미도리사워,"메론 리큐르로 유명한 '미도리'로 만드는 대표적인 칵테일, 미도리 사워! 푸릇푸릇한 색감에 딱 어울리는 상큼한 맛으로 유명한 칵테일이지만, 이름을 미도리 '샤워'로 잘못 부르는 경우도 많죠. 스윗앤사워 믹스가 들어가 새콤한 맛을 표현하는 칵테일이기 때문에 '사워(sour)'가 맞습니다!
 일본 주류 하면 빠질 수 없는 기업, '산토리'에서 1964년에 메론 리큐르가 다른 이름으로 처음 출시되었는데요! 미국에서도 큰 인기를 받게되자 1978년에 일본어로 초록색을 뜻하는 '미도리'로 이름을 바꾸어 본격적으로 유명세를 타기 시작했습니다. 공식 홈페이지에서는 미도리를 사용한 다양한 칵테일 레시피도 찾아볼 수 있답니다.","도수 ★☆☆
단맛 ★★☆
신맛 ★★☆
쓴맛 ☆☆☆
탄산 ★☆☆
얼음 ★★☆","*미도리 공식 홈페이지 레시피
미도리 리큐르 1 oz
사워믹스 1oz
(+) 가니쉬: 레몬 웨지
  Tip: 국내 칵테일 바에서는 탄산수를 추가하는 경우가 많음!","1. 글라스에 얼음을 채운다.
2. 미도리와 스윗앤사워 믹스를 따른다.
3. 가볍게 저어주고 레몬으로 장식해준다.
  Tip: 쉐이커로 재료를 한번 쉐이킹해주면 더 맛있음, 탄산수를 넣는다면 조금 더 큰 글라스를 사용하여 마지막에 2oz 추가"
카미카제," 카미카제(Kamikaze)는 보드카를 기반으로 한 칵테일로, 이름과는 달리 미국 펍에서 처음 만들어졌으며 일본과 관련된 술은 전혀 사용되지 않는답니다. 제 2차 세계대전에서 실제로 일본군의 자살 특공대로 알려졌던 '카미카제'는 무시무시한 위력을 가졌는데, 당시 미군들 사이에서 카미카제 칵테일의 맛이 ""카미카제처럼 강렬하다!""는 데서 유명해졌다고 해요.
 카미카제는 산뜻한 레몬 주스와 약간의 단맛이 어우러져 상큼한 맛을 느낄 수 있는 칵테일이에요. 도수가 높은 편이라 약간의 알콜 향이 느껴지기도 하지만, 산미가 그 향을 중화시켜줘서 색다른 매력을 만들어주죠. 시원하고 상쾌한 맛이 여름철에 잘 어울리는 선택이랍니다!","도수 ★★★
단맛 ★★☆
신맛 ★★☆
쓴맛 ★☆☆
탄산 ☆☆☆
얼음 ☆☆☆","보드카  1oz
트리플섹  1/2oz
라임 주스  1/2oz
(+) 가니쉬: 라임 조각","1. 칵테일 글라스에 얼음을 채워 미리 칠링해준다.
2. 셰이커에 재료를 차례대로 넣고 강하게 흔들어 준다.
3. 글라스의 얼음을 비우고 셰이커의 내용물을 얼음 없이 따른다.
4. 라임 조각으로 장식해준다.
Tip: 개인적으로 동그란 단면으로 자른 '라임 슬라이스'가 가니쉬가 제일 예쁘닷..!"
XYZ,"알파벳의 마지막 글자들 XZY! 이 칵테일의 이름은 ""알파벳의 마지막"", 즉 ""이 이상의 칵테일은 없다"", ""혹은 이것이 마지막 잔이다"", ""이제 제발 집에 가라""등 다양한 의미로 해석되는데요, 영업 종료 시간을 앞두고 남아있는 손님을 쫒아내기 위해 바텐더가 이 칵테일을 서비스로 내 오는 것이 유행하면서 이런 특이한 이름이 붙었다는 설이 있다고 합니다.
 XYZ의 레시피는 생각보다 굉장히 간단한 편인데요, 그만큼 다양한 변형이 가능하다고도 하죠. 기주인 럼 대신 진을 사용하면 화이트 레이디, 보드카를 사용하면 발랄라이카, 브랜디를 사용하면 사이드카가 된다고 하니, 그 이름처럼 '칵테일의 끝판왕' 답기도 하네요!","도수 ★★★
단맛 ★★☆
신맛 ★★★
쓴맛 ★★☆
탄산 ☆☆☆
얼음 ★☆☆","화이트 럼 - 1oz
코앵트로 - 1/2oz
레몬 주스 - 1/2oz
*Tip: 코앵트로는 오렌지 리큐르예요~ 트리플섹, 블루큐라소 모두 오렌지 리큐르 종류로 볼 수 있죠!","1. 글라스에 얼음을 채워 미리 칠링해준다.
2. 셰이커에 얼음과 재료를 차례대로 넣고 흔들어 준다.
3. 글라스와 얼음을 비우고 셰이커의 얼음을 걸러 칵테일을 따른다."
네그로니,"여느 칵테일과 마찬가지로 네그로니의 유래에 대해서는 명확한 답이 없지만, 가장 유력한 가설 중 하나는 1919년에 '카밀로 네그로니' 백작에 의해 만들어졌다는 것입니다. 이탈리아 피렌체라는 도시에서 그는 한 바텐더에게 '아메리카노'라는 칵테일을 주문하며 탄산수 대신 진을 넣어달라고 요구한 것이 네그로니 레시피가 되었다고 해요.
 네그로니의 재료로 들어가는 '캄파리'라는 술은 특히나 아름다운 붉은빛을 자랑하는데요! 투명한 루비 같은 색감에 오렌지와 꽃향이 어우러진 달짝지근한 향 뒤에는 캄파리만의 독보적인 씁쓸한 맛에 호불호가 많이 갈리는 술이기도 하답니다.","도수 ★★★
단맛 ★★☆
신맛 ☆☆☆
쓴맛 ★★☆
탄산 ☆☆☆
얼음 ★☆☆","[조주기능사 레시피]
드라이 진  3/4 oz
스위트 베르무트  3/4 oz
캄파리  3/4 oz
(+) 가니쉬: 레몬 필 트위스트
Tip: IBA는 재료의 양을 모두 1oz로 맞추고 오렌지 조각으로 장식!","1. 올드패션드 글라스에 얼음을 채워 칠링 시킨다.
2. 글라스에 모든 재료를 넣고 가볍게 저어준다.
3. 레몬 트위스트로 장식한다."
모킹버드,"'앵무새 죽이기'라는 소설을 아시나요? 놀랍게도 이 소설의 제목에 들어가는 '앵무새'라는 이름은 이 책이 한국에 출판되는 과정에서 '흉내지빠귀새 죽이기(To Kill a Mockingbird)'라는 원 제목에 들어가는 흉내지빠귀새, 즉 모킹버드를 한국인에게 친숙한 이름으로 번역하는 과정에서 생겨난 것이라고 하네요.
 코 끝을 스치는 민트 향과 쨍한 초록빛이 매력적인 이 칵테일은 이 소설 제목인 'To Kill a Mockingbird'의 발음을 비틀어 'Tequila Mockingbird(데킬라 모킹버드)'라고 부르기 시작하면서 생겨났다고 하는데요, 멕시코가 태생인 새 '모킹버드', 그리고 멕시코를 대표하는 술 '데킬라'를 베이스로 하는 이 칵테일의 특성을 살려 '모킹버드'라는 이름을 짓게 되었다고 하죠!","도수 ★★☆
단맛 ★★☆
신맛 ★☆☆
쓴맛 ☆☆☆
탄산 ☆☆☆
얼음 ☆☆☆","데킬라  1 oz
크렘 드 멘트 그린  1/2 oz
라임주스  1/2 oz","  1. 마티니 글라스에 얼음을 넣어 차갑게 칠링한다.
2.셰이커에 얼음과 모든 재료들을 넣고 흔든다.
3.얼음을 제외한 내용물을 빈 잔에 따른다."
갓파더,"갓파더의 이름은 너무나 유명한 대부 영화 시리즈에서 따온 것으로 알려져 있죠! 이 칵테일의 역사는 1970년대 후반 미국에서 시작되었는데요, 당시 미국에서 위스키를 좋아하는 사람들이 많았고 그들 중 일부가 아마레또를 첨가하여 새로운 칵테일을 만들어보려고 하면서 탄생한 레시피라고 합니다.
 갓파더는 진한 위스키와 달콤한 아몬드 향이 나는 아마레또가 섞여서 강한 인상을 주는 칵테일입니다. 얼음을 넣어 시원하게 즐기거나, 레몬 주스를 살짝 더해서 상큼한 맛으로 즐길 수도 있죠. 갓파더는 위스키를 좋아하는 분들이나, 강하고 묵직하면서도 달짝지근한 끝맛을 좋아하는 분들에게 추천해드리는 칵테일이에요!","도수 ★★★
단맛 ★★☆
신맛 ☆☆☆
쓴맛 ★★☆
탄산 ☆☆☆
얼음 ★★☆","위스키   1 + 1/4 oz
아마레또  1 + 1/4 oz
Tip: 용량과 비율은 기호에 따라 조율하시고 아마레또의 정석은 '디사론노', 이 제품을 사용하면 더욱 깊은 맛을 즐길 수 있어요!","1. 온더락 글라스에 얼음을 채워 칠링 시킨다.
2. 글라스에 두 재료를 넣고 가볍게 저어준다.
Tip: 가니쉬로 오렌지 트위스트 또는 시나몬 스틱을 넣어도 좋음. 오렌지는 상큼하게, 시나몬 스틱은 스파이시하게 맛을 돋워줄 수 있음!"
우우,"우우는 귀여운 이름 만큼이나 아주 상큼달달한 맛을 자랑하는 칵테일인데요! 뉴욕에 있던 '퍼스트 에디션 바'라는 칵테일바에서 처음 만들어졌으나, 제대로 이름이 알려진 계기는 1980년대에 복숭아 리큐르가 들어간 칵테일들이 크게 유행하기 시작했을 때라고 합니다.
 국내에서는 인지도가 그리 높지는 않은 편이지만, 미국에서는 굉장히 인기가 많은 칵테일이예요. 아마 그 이유는 재료가 단순하고 구하기 쉬우며, 복숭아와 크랜베리 맛이 어우러져 남녀노소 누구나 호불호 없이 맛있게 즐길 수 있기 때문이겠죠? 게다가 보드카도 적지 않게 들어가서 은은하게 알딸딸해지기 딱 좋은 도수로 강력 추천드립니다!","도수 ★★☆
단맛 ★★★
신맛 ★★☆
쓴맛 ☆☆☆
탄산 ☆☆☆
얼음 ★★☆","피치스냅스(또는 리큐르) 1oz
보드카 2oz
크렌베리 주스 4oz
가니쉬: 라임 웨지
Tip: 크렌베리 주스의 비율은 기호에 따라 조정하기!","1. 글라스에 얼음을 담아 칠링 시킨다.
2. 모든 재료를 넣고 가볍게 저어준다."
엘 디아블로,"디아블로는 스페인어로 악마라는 뜻이라고 해요. 무서운 이름과는 달리 의외로 상큼한 맛을 자랑하는 칵테일이랍니다. 특유의 붉은 빛이 악마를 연상시켜서 이런 이름이 붙었다고 하네요. 엘 디아블로의 매혹적인 색깔은 크렘 드 카시스가 들어가 만들어져요. 블랙커런트 혹은 카시스라고 불리는 까막까치밥 나무 열매가 주재료인 리큐르인데, 진한 단맛과 함께 느껴지는 떫은 맛이 특징이에요. 크렘 드 카시스만으로는 붉은 빛이 충분히 안 나온다! 싶으면 그레나딘 시럽을 조금 넣기도 해요.
 라임 주스와 과일 리큐르의 상큼한 단맛, 그리고 진저 에일의 톡 쏘는 탄산과 상쾌한 맛이 잘 어우러지는 칵테일이에요. 눈으로 한번 사로잡고 맛으로도 사로잡는 매력적인 칵테일이죠! 부담없이 술술 넘어가는 맛이지만 도수는 약간 부담스러울 수도 있어요(찡긋)","도수 ★★☆
단맛 ★★☆
신맛 ★★☆
쓴맛 ★☆☆
탄산 ★☆☆
얼음 ★★☆","데킬라 1 + 1/2oz
크렘 드 카시스 1/2oz
그레나딘 시럽 2ts
라임 주스 1/2oz
진저 비어 혹은 진저 에일 Fill Up
가니쉬: 라임 슬라이스 혹은 블랙베리","1. 하이볼 글라스에 얼음을 채워 칠링해준다.
2. 쉐이커에 얼음을 넣은 뒤, 진저 에일을 제외한 나머지 재료들을 차례대로 넣고 흔들어 준다.
3. 쉐이커 속 내용물을 얼음이 나오지 않도록 글라스에 따른다.
4. 진저비어 혹은 진저에일을 원하는 만큼 따른다.
5. 라임 슬라이스나 블랙베리로 가니쉬 해준다."
티라미수 칵테일,"혹시 티라미수 좋아하시나요? 그렇다면 이 칵테일을 강력 추천드려요. 부드럽고 달달한 크림치즈에 쌉싸름한 코코아 파우더가 어우러진 맛, 이름처럼 티라미수가 그대로 칵테일이 된 듯한 맛이에요.
 정석처럼 여겨지는 대표적인 레시피가 있지는 않다 보니 다양한 버전의 레시피가 있어요. 치즈폼을 올리는 대신 크림치즈를 넣기도 하고, 계란 노른자 말고 베일리스 밀크를 넣어 부드러움을 더해주기도 하고요. 어떤 레시피든 한 모금 마시는 순간 디저트를 먹는 듯한 기분이 들 거예요. 역시 티라미수는 사랑이죠^__^","도수 ★☆☆
단맛 ★★☆
신맛 ☆☆☆
쓴맛 ★☆☆
탄산 ☆☆☆
얼음 ★☆☆","보드카  1 + 1/2 oz
아마레또  3/4 oz
오르쟈 시럽  3/4 oz
에스프레소  3/4 oz
계란 노른자 - 1개
코코아 파우더 - 2 바 스푼
치즈 폼(혹은 마스카포네 치즈)","1. 재료들을 모두 섞은 후 얼음을 채워놓은 온더락 글라스에 붓는다.
2. 위를 치즈폼으로 덮고 코코아 파우더를 뿌린다."
