전통주명,도수,규격,주원료,제조사
입장탁주,7,750ml,국내산 쌀,(농) 입장주조㈜
톡 한잔 소주,30,500ml,"국내산 보리, 쌀",(농)(유)대마주조
자연담은 복분자막걸리,6,360ml,"국내산 복분자(고창), 정제수",(농)국순당고창명주㈜
로얄 안동소주,45,"600ml, 800ml",국내산 쌀,(농)유토피아㈜
지란지교,17,500ml,"찹쌀,멥쌀,전통누룩(밀),정제수",(유)친구들의 술 지란지교
지란지교 무화과 탁주,12,500ml,"찹쌀, 멥쌀(국내산), 전통누룩(국내산 밀), 정제수, 무화과청, 레드비트분말, 밀함유",(유)친구들의술지란지교
지란지교 약주,17,"375ml, 500ml","찹쌀, 멥쌀(국내산), 전통누룩(국내산 밀), 정제수, 밀함유",(유)친구들의술지란지교
꽃 와인,11.5,"375ml, 750ml",포도(92%(안동 청수 100%)),264청포도 와이너리
인사이더 블루베리,3,330ml,"사과, 정제수, 효모, 설탕, 블루베리, 구연산(산도조절제), 합성향료(블루베리향),베리류색소,이산화탄소",가나다라브루어리
로제사이더 오미한잔,4.5,500ml,"사과즙(국내산),건조오미자(국내산), 이산화탄소, 효모, 소브산칼륨, 메타중아황산칼륨",가나다라브루어리
가야 프리미엄 막걸리,6,750ml,김해 쌀(100%),가야양조장
님 그리다,6,750ml,"찹쌀, 멥쌀, 누룩(밀)",가야양조장
포엠 로제와인,12,750ml,"포도, 설탕, 효모, 메타중아황산나트륨, 소르빈산칼륨",갈기산농업회사
포엠 화이트와인,12,750ml,"포도, 백설탕, 효모",갈기산농업회사
로제와인,12,550ml,포도(국내산),갈기산포도농원
모리,19,375ml,"정제수, 보리증류원액",강산명주
연희유자,10,375ml,"멥쌀, 찹쌀, 유자",같이양조장
연희장미,10,375ml,"정제수, 멥쌀, 찹쌀, 누룩, 장미",같이양조장
연희민트,9,375ml,"정제수, 멥쌀, 찹쌀, 누룩(밀함유), 민트",같이양조장
연희매화,12,375ml,"찹쌀, 누룩, 정제수, 매화",같이양조장
산내울 사과애주,16,750ml,"사과, 설탕, 주정, 정제수, 과당",거창사과원예농협
산내울 복분자주,16,750ml,"복분자, 설탕, 주정, 정제수, 과당",거창사과원예농협
장수홍삼주,25,750ml,국내산 인삼,경원리큐르
계룡백일주 40%,40,600ml,"찹쌀, 백미, 누룩, 재래종국화꽃, 오미자, 진달래, 재래종 솔잎",계룡백일주
장보고의 꿈 황칠약주,15,500ml,"정제수, 경기미햅쌀(국내산 멥쌀), 국, 효모 (밀함유)",고금주조장
완도유자막걸리,6,750ml,"정제수, 완도쌀,소맥분,입국,효모,정제효소,유자즙,",고금주조장
징기스칸,40,375ml,레드와인,고도리 와이너리
고도리 화이트와인 스위트,10.5,750ml,거봉포도(영천),고도리 와이너리
레드 와인 500,12,500ml,친환경 거봉 포도,고도리 와이너리
고도리 청수 와인,10.5,750ml,포도(청수),고도리 와이너리
고도리 레드와인 스위트,12,750ml,MBA 머루포도(영천),고도리 와이너리
고도리 화이트와인 드라이,10.5,750ml,거봉포도(영천),고도리 와이너리
고도리 복숭아와인,6.5,750ml,복숭아(경북 영천),고도리 와이너리
고도리 로제와인,12,"375ml, 750ml",거봉 포도,고도리 와이너리
고도리 아이스와인(아이스 375),12,375ml,,고도리 와이너리
고도리 샤인머스캣 화이트와인,10.5,"375ml, 750ml","샤인머스캣99%(국내산), 설탕, 효모, 소브산칼륨, 메타중아황산칼륨",고도리 와이너리
고도리 징기스칸 브랜디,40,375ml,,고도리 와이너리
고도리 아이스 와인 망고와인,12,375ml,mba머루포도 효모 메타중아황사 설탕,고도리 와이너리
고도리 프룬와인,11.5,375ml,"자두 99.585%, 설탕 0.4%, 효모 0.005%, 메타중아황산칼륨 0.005%, 솔빈산칼륨 0.005%",고도리 와이너리
꽃빛서리,17.2,360ml,"증류원액(백미, 생화20가지, 효모), 정제수, 주정, 결정과당, 구연산, L-아스파라긴산, 효소처리스테비아",고창서해안복분자주
고창선운산 땡큐블루베리주,13,300ml,"블루베리과실, 주정, 효모, 구연산, 정제수",고창선운산
쿨샷 7.5,7.5,300ml,"복분자과실, 주정, 효모, 구연산, 정제수",고창선운산
고창선운산 복분자주 특1호,15,1800ml,"복분자과실, 주정, 효모, 구연산, 정제수",고창선운산
고창선운산 땡큐복분자주,13,300ml,"복분자과실, 주정, 효모, 구연산, 정제수",고창선운산
동학 1957,13,"375ml, 700ml","국내산 쌀, 구연산, 효모, 젖산, 정제효소제, 국, 주정, 정제수",고헌정영농조합법인
골목막걸리 프리미엄 12,12,350ml,"정제수, 쌀(국내산), 국, 효모",골목양조장
과천미주,9,500ml,"정제수, 경기미햅쌀(국내산 멥쌀), 국, 효모 (밀함유)",과천도가
광양 생 막걸리 골드,5,750ml,"정제수, 쌀(국산100%), 입국(국산), 곡자(국산누룩), 아스파탐(감미료, 페닐알라닌 함유), 정제효소, 효모, 젖산, 액화효소",광양주조공사
광양 생 막걸리,5,750ml,"정제수, 쌀(국산100%), 입국(국산), 곡자(국산누룩), 아스파탐(감미료, 페닐알라닌 함유), 정제효소, 효모, 젖산, 액화효소",광양주조공사
경주교동법주,16,900ml,찹쌀(국내산),교동법주
구암대추막걸리,6,1000ml,"쌀, 대추",구암농산
아이싱 자몽,4,"350ml, 300ml","쌀, 자몽엑기스",국순당
국순당 생막걸리 대박,6,750ml,쌀,국순당
국순당 이화주,12.5,400ml,"이화누룩, 국내산쌀",국순당
옛날막걸리 古,8,750ml,"국내산쌀, 누룩",국순당
1000억 유산균 막걸리,5,750ml,"국내산쌀, 누룩",국순당
사시통음주,18,550ml,"쌀, 누룩, 밀가루",국순당
2017년 햅쌀로 빚은 첫술,7,750ml,국내산 햅쌀,국순당
려,25,"375ml, 500ml","쌀증류소주원액(여주산 쌀 100%), 정제수, 고구마증류소주원액(여주산 고구마 100%)",국순당
오디랑,13,330ml,"오디(국산) 18.2%, 정제수, 과당, 주정, 구연산, 효모",국순당고창명주㈜
명작복분자,13,375ml,복분자,국순당고창명주㈜
선운산의 아침 복분자 막걸리,6,750ml,"복분자, 쌀, 효모, 국, 과당, 구연산, 젖산, 정제수",국순당고창명주㈜
그랑꼬또 M56,12,750ml,포도,그린영농조합
그랑꼬또 로제와인,12,750ml,포도,그린영농조합
그랑꼬또 청수,12,750ml,포도,그린영농조합
그랑꼬또 레드와인,12,"750ml, 375ml",국내산 포도(캠벨얼리),그린영농조합
바랑 탁,15,375ml,"국내산 찹쌀, 국내산 멥쌀, 누룩, 소맥분, 정제수",금계당
별바랑,17.5,375ml,"국내산 찹쌀, 국내산 멥쌀, 누룩, 정제수",금계당
금산인삼주 12.5%,12.5,360ml,"국내산쌀 93.5%, 국내산인삼 6.5%",금산인삼주
명인 홍삼주,12.5,375ml,"쌀, 홍삼, 누룩, 정제수 등",금산인삼주
금설,35,375ml,"쌀(국내산)증류원액, 금박(순도97%), 기타과당",금산인삼주
미르아토 로제와인,12,750ml,켐벨포도 등,금용농산
미르아토 청수 스위트 (화이트)와인,12,750ml,,금용농산
미르아토 증류주 tears of god,40,200ml,포도 등,금용농산
사과와인,12,500ml,"사과(국내산), 백설탕, 효모, 메타중아황산칼륨",금이산농원
복숭아와인,12,500ml,"복숭아(국내산), 백설탕, 효모, 메타중아황산칼륨",금이산농원
금정산성막걸리,8,750ml,"백미, 밀(누룩), 정제수",금정산성 토산주
금풍양조,6.9,750ml,"정제수, 쌀(강화도), 국, 효모, 밀함유",금풍양조장
과하주23,23,"400ml, 700ml, 1000ml",쌀 100%,김천과하주
김천대학교 자두사랑 자두와인,12,750ml,피자두 (레드) / 후무사 (화이트),김천대학교 자두사랑
미생 막걸리,6,750ml,"국내산 쌀, 누룩, 효모, 정제효소, 정제수",김포금쌀탁주영농조합법인
선호 생막걸리,6,750ml,"국내산 쌀, 누룩, 효모, 정제효소, 천연감미료, 정제수",김포금쌀탁주영농조합법인
김포특주,15,375ml,"국내산 쌀, 효모, 정제효소,정제수, 프락토올리고당",김포금쌀탁주영농조합법인
한강의설레임,11,600ml,"쌀(김포산), 개량누룩, 효모, 정제수",김포도가두두
김포 막걸리,6,750ml,"쌀, 누룩, 정제수",김포양조
김포예주,13,750ml,"국내산 쌀, 옥전분",김포양조
김포별주,13,500ml,"쌀, 옥수수 전분, 국, 효모, 젖산, 효소제, 정제수",김포양조
김포약주,11,750ml,"옥수수 전분, 밀, 국, 효모, 젖산, 효소제, 정제수",김포양조
김포예주 프리미엄,13,750ml,"국내산 쌀, 국, 효모, 젖산, 정제수",김포양조
까메오 막걸리,6,550ml,"정제수, 쌀, 효모, 누룩, 과당 등",낙천
지장수 호박 생 막걸리,6,750ml,"정제수(지장수), 쌀, 효모, 누룩, 과당 등",낙천
지장수 호박막걸리,6,550ml,"정제수(지장수), 쌀, 효모, 누룩, 과당 등",낙천
낙천 옥수수 생동동주,5,1700ml,"정제수, 쌀, 옥수수분말, 치자, 입국, 효모, 올리고당, 정제효소, 아스파탐, 사카린나트륨, 밀함유",낙천 탁주제조장
열대야,9,750ml,"쌀. 찹쌀, 누룩, 망고, 레몬, 정제수, 밀함유",날씨양조장
정고집 나주배 약주 9%,9,500ml,"쌀, 쌀가루(국내산), 배착즙액(나주산), 정제효소제, 종국, 젖산, 효모",남도탁주
정고집 나주배 약주 15%,15,500ml,"쌀, 쌀가루(국내산), 배착즙액(나주산), 정제효소제, 종국, 젖산, 효모",남도탁주
남한산성소주,40,400ml,"쌀, 엿, 누룩",남한산성소주
남한산성소주 21,21,375ml,"쌀증류식소주원액{맵쌀백미(국내산), 쌀}, 조청{쌀(국내산), 엿기름(보리, 국내산), 누룩, 정제수}, 정재수",남한산성소주
강소주,50,"200ml, 1800ml","국내산 쌀, 정제수",내국양조
화주,25,375ml,"국내산 쌀, 홍삼농축액, 정제수",내국양조
송이주,13,375ml,"국내산 쌀, 송이농축액, 누룩, 정제수",내국양조
능이주,13,375ml,"국내산 쌀, 능이농축액, 누룩, 정제수",내국양조
별,20,375ml,"올벼찹쌀, 누룩, 효모, 젖산, 정제수",내국양조
하늘,45,375ml,"보리, 증류식소주원액, 조제종국, 정제수, 젖산, 효모, 구연산, 오크칩",내국양조
바람,20,375ml,"쌀, 증류식소주원액,정제주정, 정제수, 구연산",내국양조
시,13,375ml,"딸기, 설탕 효모, 구연산, 포도당, 오크칩",내국양조
줄포 생막걸리,6,750ml,국내산 쌀,내변산(동진주조)
맑은술 해밀,15,500ml,"쌀, 누룩, 정제수",내변산양조장
담진주,9,500ml,"경기미, 정제수, 우리밀누룩",내올담 양조장
담골드,12,"경기미, 정제수, 우리밀누룩",500ml,내올담 양조장
내장산 복분자주 지통1호,16,700ml,"복분자, 주정, 정제수, 설탕 등",내장산 복분자 영농조합
복분자주 360,16,360ml,"복분자, 주정, 정제수, 설탕 등",내장산 복분자 영농조합
노미,18,700ml,"국내산 찹쌀, 국내산 쌀",내촌주조
너브내스파클링사과와인,8.5,375ml,"사과, 배, 효모, 설탕, 아황산, 수크랄로스, 자일리톨",너브내와이너리
끌로너와 스위트와인,12,750ml,머루,너와마을영동조합
일지춘,15,"375ml, 500ml","철원오대쌀(국내산), 찹쌀(국내산), 누룩(국내산 밀), 정제수",노금주가
고흥유자주 봄에디션,8,500ml,"쌀, 입국, 누룩, 유자, 원당",녹동양조장
녹천 소곡화주 500ml,41,500ml,"찹쌀, 누룩, 백미, 정제수",녹천주조장
녹천 소곡화주 480ml,41,480ml,"찹쌀, 누룩, 백미 , 정제수",녹천주조장
일엽편주,38,375ml,"찹쌀, 멥쌀(국내산), 누룩, 정제수, 밀 함유",농암종택 전통주
일엽편주,12,750ml,"찹쌀, 멥쌀(국내산), 누룩, 정제수, 밀 함유",농암종택 전통주
일엽편주,15,375ml,"찹쌀, 멥쌀(국내산), 누룩, 정제수, 밀 함유",농암종택 전통주
달 1614 스위트와인,12,750ml,"머루(국내산), 포도(국내산), 설탕, 메타중아황산칼륨(산화방지제), 효모",농업회사 덕유
달홀진주25,25,375ml,"정제수 증류원액(쌀: 국내산), 국, 효모, 정제효소제",농업회사법인 달홀주조
달홀진주40,40,375ml,"정제수 증류원액(쌀: 국내산), 국, 효모, 정제효소제",농업회사법인 달홀주조
주향아라,55,500ml,"쌀, 국, 효모, 정제수",농업회사법인 담을
주향담을,41,500ml,"쌀, 국, 효모, 정제수",농업회사법인 담을
예화,13,750ml,"쌀, 누룩, 효모, 물엿, 정제수",농업회사법인 대윤가야곡주조㈜
오목대,5,"1,000ml","보리(국내산), 맥아(국내산), 말토텍스트린, 호프펠렛, 효모, 정제효소제, 정제수",농업회사법인 동문거리양조장㈜
삼선,10,500ml,"국내산쌀, 누룩, 정제수",농업회사법인 두루㈜
고타다이브,6,730ml,"물, 쌀(국내산), 국, 효모 밀함유",농업회사법인 두루㈜
맑은내일 유자,7,735ml,"정제수, 쌀, 입국[쌀], 주정, 유자과즙, 기타과당, 누룩[밀], 효모, 아밀라아제",농업회사법인 맑은내일 주식회사
밤빛머루,16.9,360ml,무주 머루,농업회사법인 산들벗㈜
오롯이 복숭아,9,375ml,"복숭아(국내산) 68%, 설탕, 효모, 이산화탄소, 구연산",농업회사법인 솔티마을
우주멜론미 스파클링 막걸리,5,300ml,"정제수, 멥쌀, 찹쌀, 멜론과즙, 누룩, 설탕, 밀함유",농업회사법인 시향가㈜
시향가,8,500ml,"물, 쌀(국내산), 건조토란(국내산), 국, 젖산, 효모, 밀",농업회사법인 시향가㈜
산막 생유 막걸리,6,750ml,"국내산 쌀, 소맥분, 종국, 효모",농업회사법인 신탄진주조㈜
하타,16,500ml,"쌀, 쌀입국, 효모, 정제수",농업회사법인 신탄진주조㈜
겨울소주45,45,360ml,"증류원액[쌀(국내산), 국, 효모, 효소] 100%",농업회사법인 아리랑주조㈜
연천 연주,12,500ml,"쌀(국내산), 누룩, 정제수",농업회사법인 연천양조㈜
연천 우주,22,360ml,"쌀(국내산), 누룩, 효모, 효소, 연천율무, 정제수",농업회사법인 연천양조㈜
연천 아주,8,750ml,"쌀(국내산), 누룩, 정제수",농업회사법인 연천양조㈜
율무 동동주,14,750ml,"쌀(국내산), 누룩, 효모, 연천 율무, 정제수",농업회사법인 연천양조㈜
김유정역,6,300ml,"쌀, 정제수, 밀누룩",농업회사법인 예술
오매백주,12,500ml,"쌀(국내산), 국, 효모, 정제수",농업회사법인 오산양조㈜
오산막걸리,6,500ml,"쌀(국내산), 국, 효모, 정제수",농업회사법인 오산양조㈜
맑은내일 Winery 단감명작,7%,750ml,"단감, 정제수, 설탕, 효소제, 무수구연산, 효모, 무수아황산(산화방지제), 소브산(보존료)",농업회사법인 우포의아침 주식회사
맑은내일 스파클링막걸리 Signature,6,970ml,"정제수, 맵쌀(국내산), 누룩, 정제효소, 아스파탐(합성감미료 / 페닐알라닌함유), 밀함유",농업회사법인 우포의아침 주식회사
맑은내일 발효막걸리 Signature,6.5,930ml,"정제수, 백미(국내산), 누룩, 정제효소, 아스파탐(합성감미료/페닐알라닌함유), 밀함유",농업회사법인 우포의아침 주식회사
사화정미소,12,480ml,"정제수, 찹쌀(국내산), 맵쌀(국내산), 쌀입국, 누룩, 효모, 정제효소, 밀함유",농업회사법인 우포의아침 주식회사
조선주조사,14,"300ml, 700ml","쌀(국내산), 입국, 누룩, 주정, 정제수",농업회사법인 우포의아침 주식회사
여유25,25,375ml,"증류원액(쌀 국내산 100%), 정제수",농업회사법인 유한회사 양촌양조
여유소주19,19,375ml,"증류원액(쌀: 국내산100%), 정제수",농업회사법인 유한회사 양촌양조
이상헌 소주,52,500ml,증류소주원액,농업회사법인 이가수불㈜
다랭이팜 유자 막걸리,6,750ml,"정제수, 유기농7분도쌀, 친환경유자원액, 혼합제과 누룩",농업회사법인 주식회사 다랭이팜
다랭이팜 생막걸리,6,750ml,"지하정제수, 9분도쌀, 찹쌀, 혼합제제 누룩,",농업회사법인 주식회사 다랭이팜
감천막걸리,6,750ml,"정제수, 멥쌀(국내산), 누룩, 효모, 밀함유",농업회사법인 주식회사 벗드림
화전일취 15,15,500ml,찹쌀(국내산) 멥쌀(국내산) 전통누룩(국내산 밀) 정제수,농업회사법인 주식회사 지시울
선비 진,48,375ml,"진증류원액, 찹쌀(국내산), 감귤(국내산)",농업회사법인 토끼소주㈜
선비 보드카,40,750ml,"정제수, 주정, 쌀증류식소주원액",농업회사법인 토끼소주㈜
토끼 소주,23,375ml,"정제수, 찹쌀, 누룩, 효모, 효소제\",농업회사법인 토끼소주㈜
냥이탁주 화이트,10.5,350ml,"정제수, 쌀, 누룩, 밀함유",농업회사법인 행주산성주가
지리산 강쇠,13,375ml,"정제수, 쌀, 누룩, 오가피, 산수유, 오미자, 정백당 ,구연산, 정제효소, 야관문",농업회사법인(유)술소리
주몽복분자주,16,375ml,"국내산 쌀, 국내산 복분자",농업회사법인(유)술소리
황진이주,13,375ml,"국내산 오미자, 국내산 산수유",농업회사법인(유)술소리
천마이야기 막걸리,6,750ml,"팽화미, 입국미, 무주천마분말, 오미자추출액",농업회사법인산들벗㈜
블루베리 이야기,12,375ml,"국내산 산머루 50%, 블루베리 50%",농업회사법인산들벗㈜
오마이갓스파클링,9,500ml,"정제수, 목련발효청, 쌀, 입국, 쌀보리, 고구마, 탄산가스, 누룩, 효모, 정제효소",농업회사법인송도향(유)
송도막걸리,6,700ml,"정제수, 쌀(국내산), 쌀보리(국내산), 고구마(국내산), 레몬, 자일리톨, 종국, 효모, 정제효소",농업회사법인송도향(유)
도원결의,15,375ml,"정제수, 쌀, 복숭아, 조효소제, 효모, 젖산, 정제효소제, 효소처리스테비아, 구연산, 복숭아향",농업회사법인영덕주조
해방주,18.8,375ml,해방풍연한잎(국내산),농업회사법인영덕주조
대대포 막걸리,6,750ml,"쌀, 벌꿀, 정제수, 정제효소, 스테비올배당체, 젖산, 종국, 효모",농업회사법인㈜담양죽향도가
도깨비술 11,11,750ml,"정제수, 쌀, 국,효모",농업회사법인㈜도깨비양조장
애석,15,500ml,"국내산쌀, 누룩, 정제수",농업회사법인㈜두루
진맥소주 22%,22,375ml,유기농 우리밀 100%,농업회사법인㈜밀과노닐다
볼빨간막걸리 10,10,500ml,"찹쌀(국내산), 누룩, 정제수",농업회사법인㈜벗드림
봉하쌀 생막걸리,6,750ml,"쌀(국내산), 정제효소, 젖산, 효모, 아스파탐, 정제수",농업회사법인㈜봉하마을
붉은진주 머루와인 드라이,12,750ml,"머루(99.965%), 무수아황산(산화방지제) 0.035%",농업회사법인㈜붉은진주
붉은진주 머루와인 스위트,12,750ml,"머루.(91.445%), 백설탕 (8.5%), 무수아황산(산화방지제) (0.035%), 소르빈산(보존료) (0.02%)",농업회사법인㈜붉은진주
백자주,10,500ml,"국내산 찹쌀, 멥쌀, 잣, 누룩, 정제수",농업회사법인㈜산수
동정춘,8,500ml,"쌀, 누룩, 정제수",농업회사법인㈜산수
백이주,35%,800ml,"쌀(국산), 홍마늘액(국산), 감초(국산), 개량누룩(국산), 효모, 정제효소제, 정제수, 밀함유",농업회사법인㈜세찬
당당하리,15%,375ml,"쌀(국산), 홍마늘(국산), 감초(국산), 효모, 개량누룩, 정제효소제, 정제수, 복분자(국산), 설탕, 올리고당, DL-사과산, 구연산, 무수이황산",농업회사법인㈜세찬
명가원 산머루주,16,750ml,"머루(국내산)49.22%, 정제수, 주정(45%), 설탕, 액상과당, 효모, 구연산, 호박산",농업회사법인㈜솔송주
청주신선주탁주,10,500ml,"청원생명쌀(청주산), 정제수, 찹쌀(국내산), 전통누룩(국내산)(밀함유), 약재(국화, 쇠무릅, 당귀, 하수오, 구기자, 맥문동, 인삼, 육계(계피), 숙지황, 생지황)",농업회사법인㈜신선
죽향 생 막걸리,6,750ml,"쌀(국내산), 정제효소, 젖산, 효모, 아스파탐, 정제수",농업회사법인㈜죽향도가
담향 대대포 블루,6,600ml,"백미(국내산, 무기농 무농약), 벌꿀(국내산), 정제수",농업회사법인㈜죽향도가
밀담40,40,360ml,"단수수(국내산)증류원액, 정제수",농업회사법인㈜착한농부
예천주복 만월24,40,350ml,"복분자(국내산)증류원액, 복분자(국내산)과즙, 정제수",농업회사법인㈜착한농부
예천주 사월365,36.5,375ml,"오미자(국내산)증류원액, 건오미자(국내산)추출액, 정제수",농업회사법인㈜착한농부
예천주 사월24,24,375ml,"오미자(국내산)증류원액, 건오미자(국내산)추출액, 정제수",농업회사법인㈜착한농부
착한농부 막시모 25,25,360ml,"단수수(국내산)증류원액, 주정, 오미자(국내산)추출액, 합성향료(오미자향, 복분자향), 캬라멜, 정제수",농업회사법인㈜착한농부
착한농부 막시모 17,17,360ml,"단수수(국내산)증류원액, 주정, 오미자(국내산)추출액, 합성향료(오미자향, 복분자향), 캬라멜, 정제수",농업회사법인㈜착한농부
착한농부 막시모파인오크 40,40,200ml,"단수수(국내산)증류원액, 오미자(국내산)추출액, 합성향료(오미자향, 복분자향), 정제수",농업회사법인㈜착한농부
진안블랙,40,500ml,"팽화미, 블랙보리, 누룩, 수삼, 홍삼농축액, 보리침출 주정(이상 국내산), 효모, 정제수",농업회사법인㈜태평주가
북한강25,25,375ml,"쌀(화천군), 누룩(국내산), 효모(토종), 정제수 [밀(곡류)함유]",농업회사법인㈜화천주가
화천용화산,10,750ml,"정제수,쌀(화천군),곡자(밀/국내산),이소말토올리고당,효모, 정제효소제 밀함유",농업회사법인㈜화천주가
라봉,5.5,650ml,"물, 쌀(국내산), 한라봉(국내산), 올리고당, 누룩, 아스파탐(감미료, 페닐알라닌함유),",다도참주가
딸링 막걸리,5.5,650ml,"물, 쌀, 올리고당, 딸기, 누룩, 조제종국, 효모, 아스파탐(감미료, 페닐알라닌 함유)",다도참주가
