전통주명,도수,규격,주원료,제조사
참주가 솔 막걸리,5.5,650ml,"물, 쌀(국내산), 솔잎(국내산), 당귀(국내산), 한라봉(국내산), 누룩, 올리고당, 아스파탐(감미료, 페닐알라닌함유), 조제종국, 효모 밀,우유함유",다도참주가
오곡 진상주,7,750ml,"쌀, 밀, 보리, 옥수수, 조 등",대강양조장
호담 300ml,20,300ml,"산양산삼, 정제수, 주정",대농바이오우리산삼
산삼가득 명술,20,375ml,"국내산 주정, 국내산 산양산삼 5년근",대농바이오우리산삼
만품 산삼가득,13,350ml,"국내산쌀(경기미), 국내 산양산삼",대농바이오우리산삼
호담 산양산삼 막걸리,6,750ml,"쌀(경기미), 입국, 산양산삼, 정제수, 아스파탐",대농바이오우리산삼
"진도홍주, 만홍",40,"400ml, 500ml","국내산 쌀, 국내산 지초",대대로영농조합법인
진도홍주 루비콘,40,375ml,"쌀, 누룩, 지초, 정제수",대대로영농조합법인
"진도홍주 아라리35%, 루비콘40%","35, 40","375ml, 500ml, 700ml","국내산 쌀, 국내산 지초",대대로영농조합법인
명품홍주,38,375ml,"쌀, 지초",대대로영농조합법인
진도 백주,38,375ml,"쌀(국내산)100%, 정제수, 조제종국, 효모, 지초(국내산), 올리고당, 구연산, 알라닌",대대로영농조합법인
대윤 가야곡 왕주,13,300ml,"쌀, 누룩, 효모, 물엿, 정제수",대윤가야곡주조
모을동주 약주,13,375ml,"쌀(국내산), 조제종국 효모, 정제효소, 정제수",대작영농조합법인
멜론서리,5,330ml,"사과즙(국산), 멜론과즙(국산), 정제수, 건조녹차(국산), 탄산가스, 페퍼민트티, 사과산(산도조절제), 구연산(산도조절제), 효모, 메타중아황산칼륨, 멜론항아황산류함유",댄싱사이더 컴퍼니
신애유자,5,"330ml, 750ml","사과즙(국산), 정제수, 벌꿀(국산), 생강즙(국산), 유자과즙(국산), 탄산가스, 로즈마리티, 사과산(산도조절제), 구연산(산도조절제), 천일염, 메타중아황산칼륨, 효모아황산류",댄싱사이더 컴퍼니
루드베리,4.5,750ml,"사과즙(국산), 정제수, 딸기퓌레(국산), 건조레몬그라스(국산), 탄산가스, 동결건조딸기분말(국산), 바질잎, 사과산(산도조절제), 효모, 메타중아황산칼륨(산화방지제), 아황산류함유",댄싱사이더 컴퍼니
요새로제,6.4,750ml,"사과즙(국산), 오미자, 라즈베리차, 정제수, 효모, 사관산(산도조절제), 탄산가스, 메타중아황산칼륨(산화방지제)",댄싱사이더 컴퍼니
댄싱사이더 치키피치,4.6,330ml,"사과즙, 정제수, 복숭아즙, 벌꿀, 복숭아티, 사과산, 구연산, 효모, 메타중아황산칼륨, 아황산류 함유",댄싱사이더 컴퍼니
문앞에봄,4.5,750ml,"사과산,바질잎,동결건조딸기분말,이산화탄소,사과즙,정제수,딸기퓌레,설탕,건조레몬그라스,효모,메타중아황산칼륨",댄싱사이더 컴퍼니
원매,15,750ml,"매실원주액, 매실청, 꿀, 카라멜, 효소처리스테비아, 정제수",더한주류
서울의 밤,25,375ml,"매실증류주원액, 벌꿀, 포도당, 노간주나무열매, 정제수",더한주류
매실원주 허니,"13, 15, 20",300ml,"국내산 황매  80%, 청매20%",더한주류
원매 프리미엄,20,700ml,국내산 황매실,더한주류
천매,30,600ml,매실,더한주류
명랑 스컬,17,375ml,"매실증류주원액, 벌꿀, 포도당, 노간주나무열매, 정제수",더한주류
원매,20,750ml,"매실원주액, 매실청, 꿀, 카라멜, 효소처리스테비아, 정제수",더한주류
무주구천동머루와인,12,750ml,머루,덕유양조
도깨비술 7,7,750ml,"국내산 멥쌀, 누룩, 효모, 정제수",도깨비양조장
도깨비술 9,9,750ml,"국내산 멥쌀, 누룩, 효모, 정제수",도깨비양조장
샤토미소 랑,12,375ml,청수,도란원
샤토미소 레드 드라이,13,750ml,"MBA, 산머루, 캠벨 얼리",도란원
샤토미소 레드 스위트,12,750ml,"포도, 산화방지제, 효모, 설탕 등",도란원
샤토미소 로제스위트와인,12,375ml,국내산 포도원액,도란원
샤토미소 영동,40,200ml,포도,도란원
미소 아이스,12,375ml,"포도, 산화방지제, 효모",도란원
샤토미소 아이스와인,12,375ml,"포도(국내산100%), 메타중아황산칼륨, 소르빈산칼륨, 효모",도란원
샤토미소 웨딩 자두와인,12,"375ml, 750ml","자두(국내산100%), 메타중아황산칼륨, 소르빈산칼륨, 설탕, 효모",도란원
DOK막걸리,6,"1,000ml","정제수, 맵쌀, 찹쌀, 누룩, 효소, 효모",독브루어리
레드듀 RED DEW,13,750ml,무농약머루,동강산머루영농조합법인
얼떨결에,6,920ml,"쌀(국내산), 정제수, 정제효소, 효모, 젖산, 기타과장, 곡자(밀)",동강주조
얼떨결에 퍼플,6,935ml,"쌀(국내산), 찰보리쌀(국내산), 포도즙(국내산), 정제수, 정제효소, 효모, 젖산(산도조절제), 기타과당, 곡자(밀), 밀함유",동강주조
부안참뽕막걸리,6,950ml,"쌀(국내산) 오디과즙,스테비올배당체,스쿠랄로스",동진주조
부안참뽕와인,13,750ml,"정제수, 오디(국내산), 주정, 과당",동진주조
영일만친구 막걸리,6,750ml,"국내산 쌀, 물엿, 우뭇가사리, 효모, 조제 종국, 정제효소제, 아스파탐, 젖산",동해명주
도구막걸리,6,750ml,"정제수, 밀가루, 효모, 조제종국, 정제효소제, 젖산, 아스파탐, 아세설팜칼륨",동해명주
세오녀탁주,6,750ml,"정제수, 쌀(국내산, 포항쌀), 누룩, 효모, 조제종국, 정제효소제, 젖산",동해명주
동해동동주,6,750ml,쌀100%(포항쌀),동해명주
연오랑탁주,12,750ml,"정제수, 쌀(국내산, 포항쌀), 누룩, 효모, 조제종국, 정제효소제, 젖산",동해명주
북극곰 막걸리,6,750ml,"정제수, 쌀(국내산_포항유기농쌀), 물엿, 효모, 국, 정제효소제, 아스파탐(합성감미료, 페닐알라닌함유), 아세설팜칼륨(합성감미료), 젖산(산도조절제), 밀 함유",동해명주
도구막걸리,6,750ml,"밀(외국산), 쌀(국내산, 외국산), 물엿, 효모, 조제종국, 정제효소제, 아스파탐, 젖산",동해명주
메밀로,45,500ml,"국내산 쌀, 메밀, 누룩, 정제수",두루
대관람차,12,500ml,,두루미양조장 / 구름아양조장
술헤는밤,8,750ml,"쌀(국내산), 누룩(국내산)",두루전통양조
희양산 막걸리 15도,15,500ml,"정제수, 쌀(국내산), 누룩(국내산), 효모",두술도가
희양산 막걸리 9도,9,750ml,"정제수, 쌀(국내산), 누룩(국내산), 효모",두술도가
구기홍주 14,14,"360ml, 750ml","국내산 쌀, 국, 구기자추출액, 올리고당, 효모, 효소, 아세설팜칼륨, 정제수",두이술공방
겨울소주 25,25,360ml,"국내산 쌀, 증류원액, 효모, 효소, 정제수",두이술공방
걍즐겨,8,600ml,"멥쌀,찹쌀,누룩,프렌치세종,석류,히비스커스",디오케이브루어리
대장부23,23,375ml,"정제수, 쌀, 효모, 종국, 보리",롯데칠성음료
설하담,8,"950ml, 475ml","국내산 멥쌀 100%, 개량 누룩, 정제수, 이산화탄소",리큐랩주식회사
솜솜 막걸리,8,375ml,"쌀, 누룩, 물",마깨주
문삼이공(moon320) 잣 주,12,500ml,"찹쌀19.02%, 멥쌀13.16%, 누룩3.3%, 잣1.02%, 정제수63.5%",마마스팜
백년친구 쌀막걸리,6,750ml,"백미, 소맥분",만수주조(영농조합법인)
백년친구 풍기홍삼막걸리,6,"750ml, 900ml","국내산 쌀, 홍삼",만수주조(영농조합법인)
진맥 소주,40,200ml,통밀 소주원액,맹개술도가
메들리손막걸리,8,375ml,"쌀, 누룩",메들리 주식회사
메들리아카시아,7,375ml,"꿀, 물, 효모",메들리 주식회사
면천두견주 700,18,700ml,"국내산 찹쌀, 누룩, 진달래꽃",면천두견주
면천두견주 360,18,360ml,"국내산 찹쌀, 누룩, 진달래꽃",면천두견주
매실향기 담은 술,14,500ml,"국내산 쌀, 효모, 조효소재, 물엿, 아스파탐, 정제수",명세주가
명인 안동소주 22%,22,360ml,"쌀(국내산), 누룩, 정제수",명인안동소주
명인 안동소주 하회탈,45,800ml,국내산 쌀 100%,명인안동소주
명인 안동소주,45,800ml,국내산 쌀 100%,명인안동소주
명인 안동소주 양반탈,45,800ml,"국내산 쌀, 누룩, 정제수",명인안동소주
대천바다 금빛,16,300ml,"찹쌀, 밀, 누룩",명주도가
느낌 30,30,360ml,"국내산 백미, 누룩, 효모, 정제수",명품 안동소주
느낌 19.8,19.8,360ml,"국내산 백미, 누룩, 효모, 정제수",명품 안동소주
각시탈,45,200ml,"쌀증류원액(쌀: 국내산), 정제수, 발효주정",명품안동소주
모월 청,16,500ml,"쌀(국내산), 누룩, 정제수",모월
모월 연,13,500ml,"국내산 쌀, 밀누룩(국산)",모월
모월 인,41,500ml,"국내산 쌀, 정제수, 밀누룩",모월
모월 로,25,500ml,"쌀(국내산), 누룩, 정제수",모월
모월로미니,25,150ml,"쌀(국내산), 누룩, 정제수",모월
모월인미니,41%,150ml,"쌀(국내산), 누룩, 정제수",모월
소풍,5.5,750ml,"정제수, 쌀(국내산산청메뚜기쌀), 입국, 에리스리톨, 포도당, 효소처리 스테비아, 혼잡제제(효모, 유당, 넥스트린), 효소제, 탄산칼슘, 우유",몬스터빌리지
설레 7도,7,750ml,"정제수, 쌀(국내산산청메뚜기쌀), 국, 효모, 밀함유",몬스터빌리지
맑은 문희주,13,750ml,"국내산 유기농찹쌀, 국내산 멥쌀, 전통누룩, 정제수",문경주조
오희 스파클링 막걸리,8.5,500ml,"백미, 건오미자, 조효소제, 효모, 정제수",문경주조
구름을 벗삼아,12,750ml,"백미(국내산: 지역햅쌀 100%), 우리밀 전통누룩",문경주조
오미자 생막걸리,6.5,750ml,"정제수, 백미(국내산), 입국(쌀, 밀), 올리고당, 물엿, 허브(유기농), 오미자 2.4%(국내산, 문경로동산), 정제효소, 아스파탐·아세셀펌칼륨(함성감미료, 메닐알라닌 함유)",문경주조
문희 탁주,13,700ml,국내산 쌀,문경주조
오미로제 스파클링 와인,12,750ml,국내산 오미자,문경주조
호산춘,18,700ml,"멥쌀(국내산), 찹쌀(국내산), 정재수, 누룩, 솔잎, 밀(곡류)함유",문경호산춘
문배술,40,"500ml, 1000ml","국내산 찰수수, 국내산 메조",문배주양조원
문배술 헤리티지 40도,40,200ml,"메조, 찰수수, 쌀",문배주양조원
문배술 헤리티지 25도,25,375ml,"메조, 찰수수, 쌀",문배주양조원
경산대추약주 추,16,375ml,"찹쌀, 맵쌀 , 누룩, 대추 (국내산100%)",미송주가
민속주 안동소주,45,400ml,"국내산 쌀, 누룩, 정제수",민속주안동소주
가야곡왕주,13,750ml,"쌀, 야생 국화, 구기자, 오미자, 솔잎, 매실",민속주왕주
소호,"36.5, 56","350ml, 750ml","평택 쌀(발아 현미, 백미), 누룩, 정제수, 대나무잎",밝은세상영농조합
호랑이배꼽,6.5,"350ml, 750ml","평택 쌀(현미 40%, 백미 60%), 누룩, 정제수, 정백당",밝은세상영농조합
도문대작 생막걸리,10,750ml,"강릉 쌀, 누룩, 갯방풍나물, 정제수",방풍도가
김천 배금도가,12,500ml,"찹쌀, 멥쌀, 누룩",배금도가
주교주,16,500ml,"쌀(국내산), 누룩, 정제수, 정제효소, 효모",배다리도가
가와지탁주,7.5,500ml,"효모, 입국, 가와지쌀",배다리도가
아띠,6,450ml,쌀(국내산),배상면주가
심술 10,10,330ml,"정제수, 옥수수전분, 기타과당, 백설탕, 주정, 젖산, 과채가공품, 이산화탄소,국,활성건조효모,아세설팜칼륨",배상면주가
심술 7,7,330ml,"정제수, 옥수수전분, 기타과당, 백설탕, 주정, 젖산, 과채가공품, 이산화탄소,국,활성건조효모,아세설팜칼륨",배상면주가
심술6 막걸리,6,500ml,"쌀(국내산), 국(입국), 건조효모, 아세설팜칼륨, 아스파탐",배상면주가
오매락퍽,40,500ml,국내산 배증류원액,배상면주가
오매락,40,500ml,"배를 증류한 원액, 정제수, 설탕, 매실, 오매(구운 매실)",배상면주가
민들레대포,13,330ml,"쌀, 누룩, 민들레",배상면주가
느린마을 막걸리,6,750ml,"쌀, 국, 효모, 정제수",배상면주가
감아락 25,25,500ml,"국내산 쌀, 감증류원액",배상면주가
느린마을소주21,21,375ml,"쌀, 정제수, 입국, 조효소제, 건조효모",배상면주가
복분자음,12,375ml,"복분자(국내산), 정제수",배상면주가
빙탄복,7,370ml,복분자,배상면주가
복분자아락40,40,500ml,"복분자증류원액(국내산), 정제수",배상면주가
오디아락40,40,500ml,오디증류주원액,배상면주가
느린마을 증류주,16.9,360ml,쌀(국내산),배상면주가
심술 알쓰,3.8,180ml,복분자,배상면주가
느린마을 약주,12,700ml,"정제수, 쌀(국내산), 기타과당, 설탕, 국[곡자(밀), 조효소제(밀), 정제효소제], 젖산, 건조효모",배상면주가
우곡생주,10,750ml,"국내산 쌀, 누룩, 효모, 정제수",배혜정도가
호두땅콩막걸리,6,750ml,"물, 쌀(국내산), 고과당, 국(밀), 땅콩(국내산)",배혜정도가
메로니아,4,750ml,"국내산 쌀, 물엿, 합성착향료(메론향), 효모, 국, 혼합제제, 아스파탐, 젖산, 합성 향료(밀크향), 효소처리스테비아, 멜론농축액",배혜정도가
호랑이 생 막걸리,6,750ml,"물, 쌀(국내산),에리스리톨, 효모, 국, 젖산, 합성향료,밀함유",배혜정도가
메로니아,4,750ml,"쌀, 국, 효모, 젖산, 멜론 향, 물엿 등",배혜정도가
매실탁테일,7,375ml,"국내산 백미, 매실천연과즙",배혜정도가
이담,55,700ml,"국내산 쌀, 국내산 배",배혜정도가
로아40 옐로우,40,350ml,"쌀(국산), 배(국산)",배혜정도가
우곡주,13,375ml,쌀,배혜정도가
매화마름 호랑이 막걸리,7,375ml,쌀,배혜정도가
부자 송산포도,9,375ml,"쌀, 누룩, 포도즙",배혜정도가
부자,"10, 13, 16","375ml, 300ml, 300ml","쌀, 정제수, 고과당, 효모 등",배혜정도가
배도가 로아 40도 옐로우,40,350ml,"국내산 쌀, 국내산 배",배혜정도가
로아40 레드,40,350ml,사과소주원액,배혜정도가
배도가 심플리 애플,12,350ml,"정제수, 사과즙(국산), 쌀(국산), 벌꿀(국산), 천연향료(사과향), 구연산, 국, 효모, 비타민C, 밀함유",배혜정도가
매화마름,14,375ml,"물, 유기농 갈색설탕(필리핀산), 유기농쌀(국내삼), 국, 효모, 산도조절제, 잔탄검(밀함유)",배혜정도가
로아19레드,19,350ml,"사과소주원액(사과(국내산), 설탕, 효모, 메타중아황산칼륨(산화방지제), 셀룰라아제), 정제수",배혜정도가
로아19옐로우,19,350ml,"배소주원액(배(국내산), 쌀(국내산), 물, 효모, 국, 젖산), 물",배혜정도가
로아40퍼플,40,350ml,"포도소주원액(포도(국내산), 효모, 설탕, 메타중아황산칼륨(산화방지제), 정제수",배혜정도가
로아19화이트,19,350ml,"물, 쌀소주원액(쌀(국내산), 국, 효모, 젖산, 물), 주정, 벌꿀(국내산, 천연), 아카시아향(합성착향료)",배혜정도가
로아40화이트,40,350ml,"쌀소주원액(쌀(국내산), 물, 국, 효모, 젖산), 물, 주정, 벌꿀(국내산, 천연), 아카시아향(합성착향료)",배혜정도가
생 옥수수 동동주,6,750ml,"쌀, 옥수수분말, 물엿, 국, 효모, 젖산, 치자분말추출물, 아스파탐, 구연산, 효소처리 스테미아 밀함유",배혜정도가
매실 막걸리,7,750ml,"쌀, 매실과즙",백운주가
백운 복분자 와인,11,360ml,"쌀, 토종 복분자과즙",백운주가
백운복분자주,13,360ml,"국내산 쌀, 국내산 복분자",백운주가
매화깊은밤,8,375ml,"쌀(국산), 매실(국산), 누룩(국산)밀함유, 정제효소제, 효모, 설탕, 조제종국, 정제수",백제명가주조
보리수헤는밤,8,375ml,"쌀(국산), 보리수(국산), 매실(국산), 홍국쌀, 누룩(국산)밀함유, 정제효소제, 효모, 설탕, 조제종국, 정제수",백제명가주조
청량주,6,750ml,"백미, 누룩, 종국, 효모",법전양조장
라이스퐁당,13,500ml,"정제수, 찹쌀, 누룩, 삼지구엽초, 감초",벗드림양조장
볼빨간막걸리 7,7,500ml,"정제수, 찹쌀, 누룩",벗드림양조장
관악산생막걸리,6,1000ml,"정제수, 멥쌀(국내산), 국, 효모, 밀함유",별네트웍스 과천도가
병영설성 생막걸리,6,750ml,"쌀(국내산), 효모, 누룩, 정제수",병영양조장
병영설성 동동주,6,1700ml,"쌀(국내산), 전분, 효모, 누룩, 정제수",병영양조장
병영소주,40,700ml,"정제수, 보리증류식 소주원액(보리: 국내산)",병영양조장
설성 만월 막걸리,6,750ml,"정제수, 유기농쌀국내산, 누룩, 유기농올리고당 등",병영주조장
병영설성사또,40,750ml,"국내산 쌀, 국내산 오디, 국내산 복분자",병영주조장
청세주,18,375ml,국내산 쌀,병영주조장
보석막걸리,12,500ml,"정제수, 쌀(국내산), 국, 효모",보석양조장
보성 강하주,15,350ml,국내산 찹쌀100%,보성강하주
복순도가 탁주,10,935ml,"정제수, 쌀(국산), 곡자(밀), 밀함유",복순도가
복순도가 손막걸리,6.5,935ml,"정제수, 쌀(국산), 곡자(밀), 물엿, 설탕, 아스파탐(감미료,페닐알라닌함유)",복순도가
복순도가 약주,10,750ml,"정제수, 쌀(국산), 곡자(밀)",복순도가
빨간쌀막걸리,6.5,935ml,,복순도가
복순도가 과하주,15,750ml,"쌀(국산), 곡자(밀), 정제수",복순도가
복순도가 슈퍼드라이,6.5,935ml,"정제수, 쌀(국산), 곡자(밀)",복순도가
백수환동주,12,375ml,"쌀, 정제수, 누룩",봇뜰
봇뜰 막걸리 10도,10,750ml,"쌀, 정제수, 누룩, 밀 함유",봇뜰
불로생우리쌀막걸리,6,750ml,국내산 쌀,불로생우리쌀막걸리
포항불로주,"35, 45","35-750ml, 45-800ml",국내산 쌀,불로주
시나브로 레드 드라이,12,750ml,캠벨얼리,불휘농장
시나브로 청수 화이트,12,750ml,청수 100%,불휘농장
시나브로 에뚜왈 로제 스파클링,5,750ml,포도(캠벨얼리),불휘농장
시나브로 로제와인,10,500ml,포도(캠벨얼리),불휘농장
시나브로 레드 스위트,12,750ml,포도(캠벨얼리),불휘농장
시나브로 드 글로리아,12,750ml,포도(캠벨얼리),불휘농장
시나브로 에뚜왈 화이트 스파클링와인,5,750ml,국산포도(영동포도),불휘농장
붉은진주머루와인,12,750ml,"머루, 정백당, 아황산칼륨, 소르빈산칼륨",붉은진주
베리와인1168 스위트와인,13,500ml,포도 87%,블루컴퍼니
왕율주,25,330ml,"국내산 쌀, 밤, 누룩, 정제수",사곡양조원
공주애 오디와인,15,375ml,"국내산 오디, 정제수, 주정, 과당, 효모",사곡양조원
공주알밤 왕밤주,6,750ml,"공주밤(국내산), 백미(국내산), 아스파탐",사곡양조장
진쾌남,25,330ml,"국내산 쌀, 밤, 누룩, 구기자, 오미자, 산수유, 오가피, 동충하초, 정제수",사곡양조장
밤꽃향기,13.5,375ml,"국내산 쌀, 밤, 누룩, 정제수",사곡양조장
소백산(샤토소백) 스위트 레드와인,12,750ml,국내산포도 100%,산내들 와이너리
머루이야기,12,350ml,국내산 머루(전북 무주),산들벗㈜
산막와이너리 증류주 환희,40,375ml,국내산 캠벨얼리 100%,산막 와이너리
"산막와이너리, 초련",20,500ml,"포도, 아황산칼륨, 백설탕, 증류주",산막 와이너리
"산막와이너리, 아로퓨어",13,750ml,"아로니아, 아황산칼륨, 백설탕",산막와이너리
"산막와이너리, 라라",12,750ml,"포도, 아황산칼륨, 백설탕",산막와이너리
"산막와이너리, 비원퓨어",13,750ml,"포도, 아황산칼륨, 백설탕",산막와이너리
"산막와이너리, 미",13,750ml,"포도, 아황산칼륨, 백설탕",산막와이너리
"산막와이너리, 비원",13,750ml,"포도, 아황산칼륨, 백설탕",산막와이너리
"산막와이너리, 화몽",13,750ml,"포도, 아황산칼륨, 백설탕",산막와이너리
감악산 산머루주,12,360ml,"머루원액 78.5%(경기 파주), 주정(국내산, 수입산)",산머루농원
무주구천동산머루주,16,"750ml, 360ml",머루,산머루농원
너와머루와인,12,"500ml, 700ml",국내산 산머루 100%,산머루농원영농조합법인
도로시 머루주,12,500ml,"국내산 산머루원액 78.5%, 주정",산머루농원영농조합법인
호모루덴스,12,500ml,"쌀, 누룩, 정제수",산수양조장
찹쌀 생막걸리 12도,12,750ml,"찹쌀, 멥쌀, 누룩",삼산주조장
찹쌀생막걸리 9도,9,750ml,"찹쌀(해남산), 멥쌀(해남산), 누룩",삼산주조장
두륜탁주,6,"1,700ml","쌀, 밀가루, 누룩, 당귀",삼산주조장
삼양춘 청주,15,500ml,"정제수, 찹쌀, 맵쌀, 누룩",삼양춘
삼양춘 생약주,15,500ml,"강화섬쌀, 전통누룩, 정제수",삼양춘
삼양춘 스파클링,13,500ml,"정제수, 쌀(국내산), 전통누룩(밀), 탄산가스, 효모, 정제효소제",삼양춘
오 마이 갓,14,500ml,"정제수, 쌀(국내산), 입국, 전통누룩(밀), 백설탕, 백목련꽃잎, 효모",삼양춘
엄청주,18,360ml,"엄나무(국내산), 천일염, 토종꿀(국내산), 정제수",삼오식품
도갓집 막걸리,6,750ml,"정제수, 쌀(국내산), 국(국내산), 물엿, 누룩(밀함유), 효모, 아세설팜칼륨(감미료)",삼호주조장
너브내 로제 스파클링,12,750ml,"국산포도 효모, 설탕, 아황산나트륨, 수트랄로스, 자일리톨",샤또나드리
너브내 스파클링 화이트,12,750ml,"국산포도 효모, 설탕, 아황산나트륨, 수트랄로스, 자일리톨",샤또나드리
서울골드,15,500ml,"멥쌀, 찹쌀, 누룩, 정제수",서울양조장
인생막걸리,5,750ml,"정제수,팽화미,팽화밀가루,말토올리고당,국,혼합제제효모,아스파탐,아세설팜칼륨",서울장수㈜
장홍삼 장수 막걸리,6,750ml,"백미,말토올리고당,홍삼분말",서울장수㈜
월매 쌀막걸리(캔),6,350ml,"백미, 말토올리고당, 정제수",서울장수㈜
장수 생막걸리,6,750ml,"백미(국내산), 말토올리고당, 홍삼분말",서울장수주식회사
